Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Carlsson, Leo;ANA;;C;21;;;18000000;18000000;18000000;18000000;18000000
LaCombe, Jackson;ANA;;LD;25;;;9000000;9000000;9000000;9000000;9000000
Mintyukov, Pavel;ANA;;LD;22;;;7200000;7200000;7200000;7200000;7200000
Granlund, Mikael;ANA;;C,LW;34;;;7000000;7000000;UFA;0;0
Terry, Troy;ANA;;RW;28;;;7000000;7000000;7000000;7000000;UFA
Kreider, Chris;ANA;;LW;35;;;6500000;UFA;0;0;0
Dostal, Lukas;ANA;;G;26;;;6500000;6500000;6500000;6500000;UFA
Killorn, Alex;ANA;;RW,LW;36;;;6250000;UFA;0;0;0
Vatrano, Frank;ANA;;LW;32;;;4571189;4571189;UFA;0;0
Greer, A.J.;ANA;;LW;29;;;4250000;4250000;4250000;4250000;UFA
Poehling, Ryan;ANA;;C;27;;;3750000;3750000;3750000;3750000;UFA
Jensen, Nick;ANA;;RD;35;;;2250000;2250000;UFA;0;0
Husso, Ville;ANA;;G;31;;;2200000;UFA;0;0;0
Malott, Jeff;ANA;;LW;29;;;1850000;1850000;1850000;UFA;0
Moore, Ian;ANA;;LD,RD;24;;;1150000;1150000;RFA;0;0
Helleson, Drew;ANA;;RD;25;;;1100000;RFA;0;0;0
Brossoit, Laurent;ANA;;G;33;;;1100000;UFA;0;0;0
McQueen, Roger;ANA;ELC;F;19;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Procyszyn, Ethan;ANA;ELC;C;19;2026-27|2027-28|2028-29;;1040000;1040000;1040000;RFA;0
Träff, Herman;ANA;ELC;LW,RW;20;2026-27|2027-28|2028-29;;990000;990000;990000;RFA;0
Pettersson, Lucas;ANA;ELC;C;20;2026-27|2027-28|2028-29;;962700;962700;962700;RFA;0
Smith, Konnor;ANA;ELC;D;21;2026-27|2027-28;;955000;955000;RFA;0;0
Sennecke, Beckett;ANA;ELC;RW;20;2026-27|2027-28;;953750;953750;RFA;0;0
Suchanek, Tomas;ANA;ELC;G;23;2026-27;;945000;RFA;0;0;0
Solberg, Stian;ANA;ELC;LD;20;2026-27|2027-28|2028-29;;941667;941667;941667;RFA;0
Sidorov, Yegor;ANA;ELC;RW,LW;22;2026-27;;940000;RFA;0;0;0
Clara, Damian;ANA;ELC;G;21;2026-27|2027-28;;934166;934166;RFA;0;0
Pitre, Coulson;ANA;ELC;RW,C;21;2026-27;;933334;RFA;0;0;0
Hinds, Tyson;ANA;;LD;23;;;900000;900000;RFA;0;0
Myatovic, Nico;ANA;ELC;LW,C;21;2026-27;;896667;RFA;0;0;0
Wahlberg, Anton;ANA;ELC;C,LW;21;2026-27|2027-28;;893333;893333;RFA;0;0
Gaucher, Nathan;ANA;ELC;C,RW;22;2026-27;;886666;RFA;0;0;0
Schueneman, Corey;ANA;;D;30;;;875000;875000;UFA;0;0
Woo, Jett;ANA;;D;25;;;875000;875000;UFA;0;0
Hamblin, James;ANA;;LW,C;27;;;875000;875000;UFA;0;0
Caulfield, Judd;ANA;;RW,LW;25;;;875000;875000;UFA;0;0
Warren, Noah;ANA;ELC;D;21;2026-27;;865000;RFA;0;0;0
Luneau, Tristan;ANA;ELC;RD;22;2026-27;;865000;RFA;0;0;0
Mitchell, Travis;ANA;;D;26;;;850000;UFA;0;0;0
Colangelo, Sam;ANA;;RW,C;24;;;850000;0;0;0;0
Nesterenko, Nikita;ANA;;C,LW;24;;;837500;0;0;0;0
Washe, Tim;ANA;;;24;;;812500;RFA;0;0;0
Mysak, Jan;ANA;;C,LW;24;;;0;0;0;0;0
Biakabutuka, Jérémie;ANA;;D;24;;;0;0;0;0;0
Wiebe, Jaxsen;ANA;;RW,C;24;;;0;0;0;0;0
Gauthier, Cutter;ANA;;LW,C;22;;;RFA;0;0;0;0
Mrazek, Petr;ANA;;G;34;;;UFA;0;0;0;0
Philp, Noah;ANA;;C,RW;27;;;UFA;0;0;0;0
Pastujov, Sasha;ANA;;RW,LW;22;;;RFA;0;0;0;0
Clang, Calle;ANA;;G;24;;;RFA;0;0;0;0
Buteyets, Vyacheslav;ANA;;G;24;;;RFA;0;0;0;0
undefined, undefined;ANA;;;;;;;;;;
