Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Pastrnak, David;BOS;;RW,LW;29;;11250000;11250000;11250000;11250000;11250000
McAvoy, Charlie;BOS;;RD;28;;9500000;9500000;9500000;9500000;9500000
Swayman, Jeremy;BOS;;G;27;;8250000;8250000;8250000;8250000;8250000
Lindholm, Elias;BOS;;C,RW;31;;7750000;7750000;7750000;7750000;7750000
Lindholm, Hampus;BOS;;LD;32;;6500000;6500000;6500000;6500000;6500000
Mittelstadt, Casey;BOS;;C,LW;27;;5750000;5750000;UFA;0;0
Geekie, Morgan;BOS;;C,RW;27;;5500000;5500000;5500000;5500000;5500000
Zadorov, Nikita;BOS;;LD;30;;5000000;5000000;5000000;5000000;5000000
Zacha, Pavel;BOS;;C,LW;28;;4750000;4750000;UFA;0;0
Arvidsson, Viktor;BOS;;LW,RW;32;;4000000;UFA;0;0;0
Jeannot, Tanner;BOS;;LW,RW;28;;3400000;3400000;3400000;3400000;3400000
Lohrei, Mason;BOS;;LD;25;;3200000;3200000;RFA;0;0
Jokiharju, Henri;BOS;;RD;26;;3000000;3000000;3000000;UFA;0
Korpisalo, Joonas;BOS;;G;31;;3000000;3000000;3000000;UFA;0
Peeke, Andrew;BOS;;RD;28;;2750000;UFA;0;0;0
Kuraly, Sean;BOS;;C,LW;33;;1850000;1850000;UFA;0;0
Kastelic, Mark;BOS;;C,RW;27;;1566667;1566667;1566667;UFA;0
Eyssimont, Michael;BOS;;C,LW;29;;1450000;1450000;UFA;0;0
Reichel, Lukas;BOS;;C,LW;23;;1200000;RFA;0;0;0
Khusnutdinov, Marat;BOS;;C,LW;23;;925000;925000;RFA;0;0
Blumel, Matej;BOS;;RW,LW;25;;875000;0;0;0;0
Zajicek, Simon;BOS;;G;24;;872500;RFA;0;0;0
Poitras, Matthew;BOS;;C,RW;22;;870000;RFA;0;0;0
Duran, Riley;BOS;;C,RW;24;;867500;RFA;0;0;0
Lysell, Fabian;BOS;;RW,LW;23;;863334;RFA;0;0;0
Gendron, Alexis;BOS;;RW,C;22;;860000;RFA;0;0;0
Brunet, Frédéric;BOS;;LD;22;;860000;875000;875000;RFA;0
Locmelis, Dans;BOS;;C;22;;860000;860000;860000;RFA;0
Steeves, Alex;BOS;;C,LW;26;;850000;1625000;1625000;UFA;0
Johansson, Loke;BOS;;D;20;;831667;831667;831667;RFA;0
Wanner, Max;BOS;;D;23;;828333;RFA;0;0;0
Harris, Jordan;BOS;;LD;25;;825000;RFA;0;0;0
Minten, Fraser;BOS;;C,LW;21;;816666;816666;RFA;0;0
Dipietro, Michael;BOS;;G;26;;812500;812500;UFA;0;0
Cavallin, Luke;BOS;;G;24;;790000;RFA;0;0;0
Merkulov, Georgii;BOS;;C;25;;775000;0;0;0;0
Aspirot, Jonathan;BOS;;LD;26;;775000;887500;887500;UFA;0
Brown, Patrick;BOS;;C,RW;33;;775000;UFA;0;0;0
Mutter, Navrin;BOS;;LW,C;25;;775000;0;0;0;0
Farinacci, John;BOS;;C,RW;25;;775000;0;0;0;0
Tufte, Riley;BOS;;LW,RW;27;;775000;UFA;0;0;0
Soderstrom, Victor;BOS;;RD;25;;775000;0;0;0;0
Callahan, Michael;BOS;;LD;26;;775000;0;0;0;0
Sweezey, Billy;BOS;;D;30;;775000;UFA;0;0;0
Carlo, Brandon;BOS;;RD;29;;615000;615000;0;0;0
