Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Dahlin, Rasmus;BUF;;LD,RD;26;;;11000000;11000000;11000000;11000000;11000000
Power, Owen;BUF;;LD,RD;23;;;8350000;8350000;8350000;8350000;8350000
Norris, Joshua;BUF;;C;27;;;7950000;7950000;7950000;7950000;UFA
Benson, Zach;BUF;;LW,C;21;;;7500000;7500000;7500000;7500000;7500000
Thompson, Tage;BUF;;C,RW;28;;;7142857;7142857;7142857;7142857;UFA
Doan, Josh;BUF;;RW,C;24;;;6950000;6950000;6950000;6950000;6950000
Skinner, Jeff;BUF;;LW;34;;;6444444;2444444;2444444;2444444;0
McLeod, Ryan;BUF;;C;26;;;5000000;5000000;5000000;UFA;0
Luukkonen, Ukko-Pekka;BUF;;G;27;;;4750000;4750000;4750000;UFA;0
Zucker, Jason;BUF;;LW,RW;34;;;4750000;UFA;0;0;0
Samuelsson, Mattias;BUF;;LD,RD;26;;;4285714;4285714;4285715;4285715;UFA
Quinn, Jack;BUF;;RW,LW;24;;;3375000;RFA;0;0;0
Zellweger, Olen;BUF;;LD;22;;;3100000;3100000;3100000;RFA;0
Malenstyn, Beck;BUF;;LW,RW;28;;;2916667;2916667;2916667;2916667;2916667
Timmins, Conor;BUF;;RD;27;;;2200000;UFA;0;0;0
Danforth, Justin;BUF;;RW,C;33;;;1800000;UFA;0;0;0
Lyon, Alex;BUF;;G;33;;;1500000;UFA;0;0;0
Strbak, Maxim;BUF;ELC;D;21;2026-27|2027-28|2028-29;;1028333;1028333;1028333;RFA;0
Richard, Jake;BUF;ELC;RW;21;2026-27|2027-28;;1013750;1013750;RFA;0;0
McCarthy, Gavin;BUF;ELC;D;21;2026-27|2027-28|2028-29;;1007500;1007500;1007500;RFA;0
Carrick, Sam;BUF;;C,RW;34;;;1000000;UFA;0;0;0
Kopff, Tyler;BUF;ELC;F;23;2026-27;;975000;RFA;0;0;0
Mrtka, Radim;BUF;ELC;D;19;2026-27|2027-28|2028-29;;974167;974167;974167;RFA;0
Leinonen, Topias;BUF;ELC;G;22;2026-27|2027-28;;961667;961667;RFA;0;0
Helenius, Konsta;BUF;ELC;C,RW;20;2026-27|2027-28;;953750;953750;RFA;0;0
Fiddler-Schultz, Riley;BUF;ELC;;24;2026-27;;940000;RFA;0;0;0
Ratzlaff, Scott;BUF;ELC;G;21;2026-27|2027-28;;935000;935000;RFA;0;0
Komarov, Vsevolod;BUF;ELC;RD;22;2026-27;;910000;RFA;0;0;0
Crevier, Louis;BUF;;RD;25;;;900000;RFA;0;0;0
Östlund, Noah;BUF;ELC;C,LW;22;2026-27;;886666;RFA;0;0;0
Kulich, Jiri;BUF;ELC;C,LW;22;2026-27;;886666;RFA;0;0;0
Johnson, Ryan;BUF;;LD;24;;;875000;875000;RFA;0;0
Kuntar, Trevor;BUF;;C,LW;25;;;875000;875000;UFA;0;0
Kozak, Tyson;BUF;;C,LW;23;;;875000;875000;RFA;0;0
Metsa, Zach;BUF;;RD,LD;27;;;850000;UFA;0;0;0
Polin, Jason;BUF;;RW;27;;;850000;UFA;0;0;0
Meyer, Carson;BUF;;RW,LW;28;;;850000;UFA;0;0;0
Sheary, Conor;BUF;;LW,RW;34;;;850000;UFA;0;0;0
Villalta, Matt;BUF;;G;27;;;850000;UFA;0;0;0
Gilbert, Dennis;BUF;;LD;29;;;850000;UFA;0;0;0
Ellis, Colten;BUF;;G;25;;;850000;0;0;0;0
McDonough, Aidan;BUF;;LW;26;;;850000;UFA;0;0;0
Geertsen, Mason;BUF;;LW,D;31;;;850000;UFA;0;0;0
Rathbone, Jack;BUF;;D;27;;;850000;UFA;0;0;0
Belliveau, Isaac;BUF;;D;23;;;0;0;0;0;0
Novikov, Nikita;BUF;;D;22;;;0;0;0;0;0
Nadeau, Olivier;BUF;;RW,C;23;;;0;0;0;0;0
Krebs, Peyton;BUF;;C,LW;25;;;RFA;0;0;0;0
Pearson, Tanner;BUF;;LW;33;;;UFA;0;0;0;0
Kampf, David;BUF;;C,LW;31;;;UFA;0;0;0;0
Stanley, Logan;BUF;;LD;28;;;UFA;0;0;0;0
Leschyshyn, Jake;BUF;;C;27;;;UFA;0;0;0;0
Bayreuther, Gavin;BUF;;D;32;;;UFA;0;0;0;0
undefined, undefined;BUF;;;;;;;;;;
