Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Huberdeau, Jonathan;CGY;;LW;32;;10500000;10500000;10500000;10500000;10500000
Coronato, Matt;CGY;;RW,LW;23;;6500000;6500000;6500000;6500000;6500000
Sharangovich, Yegor;CGY;;C,LW;27;;5750000;5750000;5750000;5750000;5750000
Bahl, Kevin;CGY;;LD;25;;5350000;5350000;5350000;5350000;5350000
Strome, Ryan;CGY;;C;32;;5000000;5000000;UFA;0;0
Farabee, Joel;CGY;;LW,RW;26;;5000000;5000000;5000000;UFA;0
Coleman, Blake;CGY;;LW,RW;34;;4900000;4900000;UFA;0;0
Backlund, Mikael;CGY;;C;37;;4500000;3250000;3250000;UFA;0
Frost, Morgan;CGY;;C;26;;4375000;4375000;UFA;0;0
Zary, Connor;CGY;;C,LW;24;;3775000;3775000;3775000;RFA;0
Maatta, Olli;CGY;;LD,RD;31;;3500000;3500000;3500000;UFA;0
Whitecloud, Zach;CGY;;RD;29;;2750000;2750000;2750000;UFA;0
Andersson, Rasmus;CGY;;RD;29;;2275000;0;0;0;0
Lomberg, Ryan;CGY;;LW;31;;2000000;UFA;0;0;0
Markstrom, Jacob;CGY;;G;36;;1875000;0;0;0;0
Hanley, Joel;CGY;;LD;34;;1750000;1750000;UFA;0;0
Bean, Jake;CGY;;LD;27;;1750000;UFA;0;0;0
Olofsson, Victor;CGY;;LW,RW;30;;1575000;UFA;0;0;0
Kadri, Nazem;CGY;;C;35;;1400000;1400000;1400000;1400000;0
Klapka, Adam;CGY;;RW,LW;25;;1250000;1250000;RFA;0;0
Miromanov, Daniil;CGY;;RD;28;;1250000;UFA;0;0;0
Pachal, Brayden;CGY;;RD;26;;1187500;1187500;UFA;0;0
Pospisil, Martin;CGY;;C,LW;26;;1000000;2500000;2500000;2500000;UFA
Gross, Tyson;CGY;;;23;;975000;975000;RFA;0;0
Prosvetov, Ivan;CGY;;G;27;;950000;UFA;0;0;0
Brzustewicz, Hunter;CGY;;RD;21;;950000;950000;RFA;0;0
Gridin, Matvei;CGY;;RW,LW;20;;942500;942500;942500;RFA;0
Parekh, Zayne;CGY;;RD;20;;942500;942500;942500;RFA;0
Suniev, Aydar;CGY;;LW;21;;923333;923333;RFA;0;0
Strömgren, William;CGY;;LW,RW;22;;900833;RFA;0;0;0
Kirkland, Justin;CGY;;C,LW;29;;900000;UFA;0;0;0
Beecher, John;CGY;;C,LW;24;;900000;RFA;0;0;0
Honzek, Samuel;CGY;;LW,C;21;;886666;886666;886666;RFA;0
King, Carter;CGY;;;24;;872500;RFA;0;0;0
Say, Owen;CGY;;G;24;;872500;RFA;0;0;0
Morin, Etienne;CGY;;D;21;;871666;871666;871666;RFA;0
Sergeyev, Arseni;CGY;;G;23;;866250;866250;RFA;0;0
Basha, Andrew;CGY;;LW;20;;865000;865000;865000;RFA;0
Othmann, Brennan;CGY;;LW;23;;863333;RFA;0;0;0
Bell, Parker;CGY;;LW,RW;22;;857500;RFA;0;0;0
White, Gavin;CGY;;D;23;;857500;RFA;0;0;0
Wolf, Dustin;CGY;;G;24;;850000;7500000;7500000;7500000;7500000
Ciona, Lucas;CGY;;LW,RW;23;;830000;RFA;0;0;0
Hunt, Dryden;CGY;;LW,RW;30;;825000;825000;UFA;0;0
Grushnikov, Artyom;CGY;;D;22;;814167;RFA;0;0;0
Kuznetsov, Yan;CGY;;LD;24;;812500;812500;RFA;0;0
Cooley, Devin;CGY;;G;28;;775000;1350000;1350000;UFA;0
Bishop, Clark;CGY;;C,LW;29;;775000;UFA;0;0;0
Morton, Sam;CGY;;C,LW;26;;775000;RFA;0;0;0
Kerins, Rory;CGY;;C,LW;23;;775000;RFA;0;0;0
Cicek, Nick;CGY;;D;25;;775000;0;0;0;0
Okhotyuk, Nikita;CGY;;D;25;;RFA;0;0;0;0
