Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Weber, Shea;CHI;;D;40;;7857143.0;UFA;0;0;0
Ellis, Ryan;CHI;;D;35;;6250000.0;6250000;UFA;0;0
Burakovsky, Andre;CHI;;LW,RW;31;;5500000.0;5500000;UFA;0;0
Bertuzzi, Tyler;CHI;;LW,RW;31;;5500000.0;5500000;5500000;UFA;0
Teravainen, Teuvo;CHI;;LW;31;;5400000.0;5400000;UFA;0;0
Vlasic, Alex;CHI;;LD;24;;4600000.0;4600000;4600000;4600000;4600000
Knight, Spencer;CHI;;G;24;;4500000.0;5833333;5833333;5833333;UFA
Mikheyev, Ilya;CHI;;RW,LW;31;;4037500.0;UFA;0;0;0
Donato, Ryan;CHI;;LW,C;29;;4000000.0;4000000;4000000;4000000;UFA
Mangiapane, Andrew;CHI;;LW,RW;29;;3600000.0;3600000;UFA;0;0
Brodie, TJ;CHI;;D;35;;3233333.0;258333;0;0;0
Soderblom, Arvid;CHI;;G;26;;2750000.0;2750000;UFA;0;0
Jones, Seth;CHI;;RD;31;;2500000.0;2500000;2500000;2500000;2500000
Murphy, Connor;CHI;;RD;32;;2200000.0;0;0;0;0
Dickinson, Jason;CHI;;C,LW;30;;2125000.0;0;0;0;0
Lafferty, Sam;CHI;;RW,C;31;;2000000.0;UFA;0;0;0
Kaiser, Wyatt;CHI;;LD;23;;1700000.0;1700000;RFA;0;0
Performance Bonus Cushion Excess;CHI;;;;;1281589.0;0;0;0;0
Grzelcyk, Matt;CHI;;LD;32;;1000000.0;UFA;0;0;0
Frondell, Anton;CHI;;C;18;;975000.0;975000;975000;RFA;0
Levshunov, Artyom;CHI;;RD;20;;975000.0;975000;RFA;0;0
Berezhnoy, Stanislav;CHI;;G;22;;975000.0;975000;RFA;0;0
Boisvert, Sacha;CHI;;C;20;;974167.0;974167;974167;RFA;0
Nazar, Frank;CHI;;C,RW;22;;950000.0;6599991;6599991;6599991;6599991
Greene, Ryan;CHI;;C,LW;22;;950000.0;950000;RFA;0;0
Bedard, Connor;CHI;;C;20;;950000.0;RFA;0;0;0
Vanacker, Marek;CHI;;LW;19;;942500.0;942500;942500;RFA;0
Moore, Oliver;CHI;;C,LW;21;;941667.0;941667;RFA;0;0
Rinzel, Sam;CHI;;RD;21;;941667.0;941667;RFA;0;0
Commesso, Drew;CHI;;G;23;;925000.0;RFA;0;0;0
Korchinski, Kevin;CHI;;LD;21;;918333.0;RFA;0;0;0
Crevier, Louis;CHI;;RD;24;;900000.0;900000;RFA;0;0
Slaggert, Landon;CHI;;LW,C;23;;900000.0;900000;RFA;0;0
Ludwinski, Paul;CHI;;C,LW;21;;900000.0;900000;RFA;0;0
Harding, Taige;CHI;;D;24;;880000.0;880000;RFA;0;0
Misiak, Martin;CHI;;W;21;;878333.0;878333;RFA;0;0
Spellacy, AJ;CHI;;RW,C;20;;874167.0;874167;874167;RFA;0
Lardis, Nick;CHI;;LW;20;;865000.0;865000;865000;RFA;0
Hayes, Gavin;CHI;;LW,RW;21;;865000.0;865000;RFA;0;0
Del Mastro, Ethan;CHI;;LD;23;;855833.0;RFA;0;0;0
Toninato, Dominic;CHI;;C;32;;850000.0;850000;UFA;0;0
Savoie, Samuel;CHI;;LW,C;21;;846666.0;846666;RFA;0;0
Furlong, Jake;CHI;;D;22;;841666.0;841666;RFA;0;0
Mast, Ryan;CHI;;D;23;;830556.0;RFA;0;0;0
Anderson, Joey;CHI;;RW,LW;27;;800000.0;UFA;0;0;0
Kuzmin, Dmitri;CHI;;D;22;;795556.0;RFA;0;0;0
Pouliot, Derrick;CHI;;D;32;;775000.0;775000;UFA;0;0
Rodrigue, Olivier;CHI;;G;25;;775000.0;0;0;0;0
undefined, undefined;CHI;;;;;;;;;
