Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Rantanen, Mikko;DAL;;RW;29;;12000000;12000000;12000000;12000000;12000000
Seguin, Tyler;DAL;;C,RW;34;;9850000;9850000;UFA;0;0
Hintz, Roope;DAL;;C,LW;29;;8450000;8450000;8450000;8450000;8450000
Heiskanen, Miro;DAL;;LD,RD;26;;8450000;8450000;8450000;8450000;UFA
Johnston, Wyatt;DAL;;C,RW;22;;8400000;8400000;8400000;8400000;8400000
Oettinger, Jake;DAL;;G;27;;8250000;8250000;8250000;8250000;8250000
Robertson, Jason;DAL;;LW,RW;26;;7750000;RFA;0;0;0
Lindell, Esa;DAL;;LD;31;;5250000;5250000;5250000;5250000;5250000
Bunting, Michael;DAL;;LW,RW;30;;4500000;UFA;0;0;0
Duchene, Matt;DAL;;C,RW;35;;4500000;4500000;4500000;4500000;UFA
Harley, Thomas;DAL;;LD;24;;4000000;10587000;10587000;10587000;10587000
Lyubushkin, Ilya;DAL;;RD;31;;3250000;3250000;UFA;0;0
Steel, Sam;DAL;;C,LW;28;;2100000;2100000;UFA;0;0
Faksa, Radek;DAL;;C,LW;32;;2000000;2000000;2000000;UFA;0
Myers, Tyler;DAL;;RD;36;;1500000;1500000;UFA;0;0
Suter, Ryan;DAL;;LD;41;;1433333;0;0;0;0
Lundkvist, Nils;DAL;;RD;25;;1250000;RFA;0;0;0
Benn, Jamie;DAL;;LW,C;36;;1000000;UFA;0;0;0
DeSmith, Casey;DAL;;G;34;;1000000;1000000;UFA;0;0
Scott, Harrison;DAL;;F;25;;975000;RFA;0;0;0
Taylor, Trey;DAL;;D;24;;975000;975000;RFA;0;0
Bourque, Mavrik;DAL;;C,RW;24;;950000;RFA;0;0;0
Hemming, Emil;DAL;;RW;19;;942500;942500;942500;RFA;0
Bichsel, Lian;DAL;;LD;21;;918333;918333;RFA;0;0
Fuder, Jaxon;DAL;;;19;;916667;916667;916667;RFA;0
McDonald, Kyle;DAL;;RW,LW;24;;870000;RFA;0;0;0
Hyry, Arttu;DAL;;RW,C;24;;870000;RFA;0;0;0
Hryckowian, Justin;DAL;;C,LW;25;;870000;950000;950000;UFA;0
Punnett, Connor;DAL;;D;22;;870000;870000;RFA;0;0
Krys, Luke;DAL;;D;25;;870000;RFA;0;0;0
Ertel, Justin;DAL;;LW,RW;22;;867500;867500;RFA;0;0
Martino, Ayrton;DAL;;LW;23;;867500;867500;RFA;0;0
Wheatcroft, Chase;DAL;;C,LW;23;;862500;RFA;0;0;0
Seminoff, Matthew;DAL;;RW,C;22;;850000;RFA;0;0;0
Tiefensee, Arno;DAL;;G;23;;850000;850000;RFA;0;0
Muhonen, Niilopekka;DAL;;D;20;;850000;850000;850000;RFA;0
MacDonell, Angus;DAL;;C;20;;850000;850000;850000;RFA;0
Bertucci, Tristan;DAL;;D;20;;846666;846666;846666;RFA;0
Tuomaala, Samu;DAL;;RW;23;;830833;RFA;0;0;0
Arcuri, Francesco;DAL;;C,LW;22;;825000;RFA;0;0;0
Back, Oskar;DAL;;C,LW;26;;825000;825000;UFA;0;0
Blackwell, Colin;DAL;;RW;32;;775000;775000;UFA;0;0
Bastian, Nathan;DAL;;RW,C;28;;775000;UFA;0;0;0
Erne, Adam;DAL;;LW,RW;30;;775000;UFA;0;0;0
Capobianco, Kyle;DAL;;LD;28;;775000;UFA;0;0;0
Petrovic, Alexander;DAL;;RD;34;;775000;UFA;0;0;0
Stranges, Antonio;DAL;;LW,C;24;;775000;RFA;0;0;0
Lind, Kole;DAL;;RW,LW;27;;775000;UFA;0;0;0
Hughes, Cameron;DAL;;C,LW;29;;775000;775000;UFA;0;0
Kolyachonok, Vladislav;DAL;;LD;24;;775000;RFA;0;0;0
Poirier, Jeremie;DAL;;D;23;;775000;RFA;0;0;0
Poirier, Remi;DAL;;G;24;;775000;775000;RFA;0;0
Kraws, Benjamin;DAL;;G;25;;775000;RFA;0;0;0
Anderson, Jack;DAL;;;23;;RFA;1050000;1050000;0;0
