Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Draisaitl, Leon;EDM;;C,LW;30;;14000000;14000000;14000000;14000000;14000000
McDavid, Connor;EDM;;C;29;;12500000;12500000;12500000;UFA;0
Bouchard, Evan;EDM;;RD;26;;10500000;10500000;10500000;10500000;UFA
Nurse, Darnell;EDM;;LD;31;;9250000;9250000;9250000;9250000;9250000
Ekholm, Mattias;EDM;;LD;35;;6000000;4000000;4000000;4000000;UFA
Hyman, Zach;EDM;;RW,LW;33;;5500000;5500000;5500000;UFA;0
Jarry, Tristan;EDM;;G;30;;5375000;5375000;5375000;UFA;0
Nugent-Hopkins, Ryan;EDM;;C,LW;32;;5125000;5125000;5125000;5125000;UFA
Frederic, Trent;EDM;;LW,RW;28;;3850000;3850000;3850000;3850000;3850000
Walman, Jake;EDM;;LD,RD;30;;3400000;7000000;7000000;7000000;7000000
Henrique, Adam;EDM;;C,LW;36;;3000000;UFA;0;0;0
Campbell, Jack;EDM;;G;34;;2300000;2600000;1500000;1500000;1500000
Murphy, Connor;EDM;;RD;32;;2200000;UFA;0;0;0
Dickinson, Jason;EDM;;C,LW;30;;2125000;UFA;0;0;0
Roslovic, Jack;EDM;;C,RW;29;;1500000;UFA;0;0;0
Janmark, Mattias;EDM;;C,LW;33;;1450000;1450000;UFA;0;0
Kapanen, Kasperi;EDM;;RW,C;29;;1300000;UFA;0;0;0
Emberson, Ty;EDM;;RD,LD;25;;1300000;1300000;UFA;0;0
Ingram, Connor;EDM;;G;28;;1150000;UFA;0;0;0
Pickard, Calvin;EDM;;G;33;;1000000;UFA;0;0;0
Brown, Josh;EDM;;RD;32;;1000000;1000000;UFA;0;0
Jones, Max;EDM;;LW,RW;28;;1000000;UFA;0;0;0
Podkolzin, Vasily;EDM;;LW;24;;1000000;2950000;2950000;2950000;UFA
Leppänen, Atro;EDM;ELC;;27;2025-26|2026-27;975000;850000;UFA;0;0
Samanski, Josh;EDM;ELC;C,LW;23;2025-26|2026-27;975000;975000;RFA;0;0
Howard, Isaac;EDM;ELC;LW;21;2025-26|2026-27|2027-28;950000;950000;950000;RFA;0
Savoie, Matthew;EDM;ELC;RW,LW;22;2025-26|2026-27;886666;886666;RFA;0;0
Hutson, Quinn;EDM;ELC;;24;2025-26|2026-27|2027-28;875000;875000;875000;RFA;0
Marjala, Viljami;EDM;ELC;C,LW;23;2025-26|2026-27;872500;872500;RFA;0;0
Stefan, James;EDM;ELC;RW,LW;22;2025-26|2026-27;870000;870000;RFA;0;0
Carfagna, Damien;EDM;ELC;D;23;2025-26|2026-27;862500;862500;RFA;0;0
Ungar, Connor;EDM;ELC;G;24;2025-26;860000;RFA;0;0;0
Day, Nathaniel;EDM;ELC;G;21;2025-26|2026-27|2027-28;856667;856667;856667;RFA;0
Jonsson, Samuel;EDM;ELC;G;22;2025-26|2026-27|2027-28;855000;855000;855000;RFA;0
Bloom, Josh;EDM;ELC;LW;22;2025-26;836667;RFA;0;0;0
Akey, Beau;EDM;ELC;D;21;2025-26|2026-27|2027-28;831666;831666;831666;RFA;0
Clattenburg, Connor;EDM;ELC;LW;20;2025-26|2026-27|2027-28;828333;828333;828333;RFA;0
Stastney, Spencer;EDM;;LD;26;;825000;RFA;0;0;0
Dach, Colton;EDM;ELC;C,LW;23;2025-26;825000;RFA;0;0;0
Stonehouse, Brady;EDM;ELC;RW,LW;21;2025-26|2026-27;821667;821667;RFA;0;0
Petrov, Matvei;EDM;ELC;LW,RW;23;2025-26;803333;RFA;0;0;0
Lazar, Curtis;EDM;;C,RW;31;;775000;UFA;0;0;0
Jarventie, Roby;EDM;;LW,RW;23;;775000;RFA;0;0;0
Hamblin, James;EDM;;LW,C;26;;775000;UFA;0;0;0
Poulin, Samuel;EDM;;W,C;25;;775000;0;0;0;0
Regula, Alec;EDM;;RD;25;;775000;775000;RFA;0;0
Stillman, Riley;EDM;;LD;28;;775000;775000;UFA;0;0
Dineen, Cam;EDM;;LD;27;;775000;UFA;0;0;0
Tomkins, Matt;EDM;;G;31;;775000;775000;UFA;0;0
