Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Barkov, Aleksander;FLA;;C;30;;10000000;10000000;10000000;10000000;10000000
Bobrovsky, Sergei;FLA;;G;37;;10000000;UFA;0;0;0
Tkachuk, Matthew;FLA;;LW,RW;28;;9500000;9500000;9500000;9500000;9500000
Reinhart, Sam;FLA;;RW;30;;8625000;8625000;8625000;8625000;8625000
Bennett, Sam;FLA;;C;29;;8000000;8000000;8000000;8000000;8000000
Jones, Seth;FLA;;RD;31;;7000000;7000000;7000000;7000000;7000000
Verhaeghe, Carter;FLA;;LW;30;;7000000;7000000;7000000;7000000;7000000
Ekblad, Aaron;FLA;;RD;30;;6100000;6100000;6100000;6100000;6100000
Forsling, Gustav;FLA;;LD;29;;5750000;5750000;5750000;5750000;5750000
Marchand, Brad;FLA;;RW,LW;37;;5250000;5250000;5250000;5250000;5250000
Lundell, Anton;FLA;;C;24;;5000000;5000000;5000000;5000000;5000000
Rodrigues, Evan;FLA;;C,RW;32;;3000000;3000000;UFA;0;0
Luostarinen, Eetu;FLA;;LW,C;27;;3000000;3000000;UFA;0;0
Mikkola, Niko;FLA;;LD;29;;2500000;5000000;5000000;5000000;5000000
Boqvist, Jesper;FLA;;C,LW;27;;1500000;1500000;UFA;0;0
Kulikov, Dmitry;FLA;;LD,RD;35;;1150000;1150000;1150000;UFA;0
Tarasov, Daniil;FLA;;G;27;;1050000;UFA;0;0;0
Hovorka, Mikulas;FLA;ELC;RD;24;2025-26;950000;RFA;0;0;0
Devine, Jack;FLA;ELC;RW;22;2025-26|2026-27|2027-28;950000;950000;950000;RFA;0
Black, Cooper;FLA;ELC;G;24;2025-26;950000;RFA;0;0;0
Steeves, Ben;FLA;ELC;LW;23;2025-26;950000;RFA;0;0;0
Gerasimyuk, Kirill;FLA;ELC;G;22;2025-26|2026-27;875000;875000;RFA;0;0
Alscher, Marek;FLA;ELC;D;21;2025-26|2026-27;865000;865000;RFA;0;0
Nause, Evan;FLA;ELC;D;23;2025-26;864167;RFA;0;0;0
Vilmanis, Sandis;FLA;ELC;LW,RW;22;2025-26|2026-27;855000;855000;RFA;0;0
Jansson, Ludvig;FLA;ELC;D;22;2025-26|2026-27|2027-28;855000;855000;855000;RFA;0
Balinskis, Uvis;FLA;;LD,RD;29;;850000;875000;875000;UFA;0
Greer, A.J.;FLA;;LW;29;;850000;UFA;0;0;0
Sawchyn, Gracyn;FLA;ELC;C;21;2025-26|2026-27|2027-28;846666;846666;846666;RFA;0
St. Martin, Hunter;FLA;ELC;LW;20;2025-26|2026-27|2027-28;828889;828889;828889;RFA;0
Schwindt, Cole;FLA;;RW,C;24;;825000;0;0;0;0
Reinhardt, Cole;FLA;;LW;26;;812500;812500;UFA;0;0
Schwindt, Kai;FLA;ELC;LW;22;2025-26|2026-27;798334;798334;RFA;0;0
Nosek, Tomas;FLA;;C,LW;33;;775000;UFA;0;0;0
Hinostroza, Vinnie;FLA;;RW,LW;32;;775000;UFA;0;0;0
Foote, Nolan;FLA;;LW,RW;25;;775000;0;0;0;0
Gadjovich, Jonah;FLA;;LW;27;;775000;905000;905000;UFA;0
Gregor, Noah;FLA;;LW,RW;27;;775000;UFA;0;0;0
Kunin, Luke;FLA;;RW,C;28;;775000;UFA;0;0;0
Sebrango, Donovan;FLA;;LD;24;;775000;RFA;0;0;0
Bjornfot, Tobias;FLA;;LD;24;;775000;RFA;0;0;0
Benning, Michael;FLA;;RD;24;;775000;RFA;0;0;0
Samoskevich, Mackie;FLA;;RW,C;23;;775000;RFA;0;0;0
Studnicka, Jack;FLA;;C,RW;27;;775000;UFA;0;0;0
Domingue, Louis;FLA;;G;34;;775000;UFA;0;0;0
Skoog, Wilmer;FLA;;C;26;;775000;RFA;0;0;0
Entwistle, Mackenzie;FLA;;RW,C;26;;775000;775000;UFA;0;0
Hutsko, Logan;FLA;;RW,C;27;;RFA;0;0;0;0
Heponiemi, Aleksi;FLA;;C,W;27;;RFA;0;0;0;0
Okuliar, Oliver;FLA;;LW,RW;25;;RFA;0;0;0;0
Muszelik, Tyler;FLA;;G;21;;RFA;960000;960000;0;0
