Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Doughty, Drew;LAK;;RD;36;;11000000;11000000;UFA;0;0
Fiala, Kevin;LAK;;LW;29;;7875000;7875000;7875000;7875000;UFA
Kopitar, Anze;LAK;;C;38;;7000000;UFA;0;0;0
Byfield, Quinton;LAK;;C;23;;6250000;6250000;6250000;6250000;UFA
Panarin, Artemi;LAK;;LW;34;;5821429;11000000;11000000;UFA;0
Kempe, Adrian;LAK;;LW,RW;29;;5500000;10625000;10625000;10625000;10625000
Kuemper, Darcy;LAK;;G;35;;5250000;5250000;UFA;0;0
Ceci, Cody;LAK;;RD;32;;4500000;4500000;4500000;4500000;UFA
Kuzmenko, Andrei;LAK;;LW;30;;4300000;UFA;0;0;0
Moore, Trevor;LAK;;LW,RW;30;;4200000;4200000;4200000;UFA;0
Anderson, Mikey;LAK;;LD;26;;4125000;4125000;4125000;4125000;4125000
Laferriere, Alex;LAK;;RW,C;24;;4100000;4100000;4100000;RFA;0
Dumoulin, Brian;LAK;;LD,RD;34;;4000000;4000000;4000000;UFA;0
Edmundson, Joel;LAK;;LD;32;;3850000;3850000;3850000;UFA;0
Armia, Joel;LAK;;RW,C;32;;2500000;2500000;UFA;0;0
Forsberg, Anton;LAK;;G;33;;2250000;2250000;UFA;0;0
Laughton, Scott;LAK;;C,LW;31;;1500000;UFA;0;0;0
Burroughs, Kyle;LAK;;D;30;;1100000;UFA;0;0;0
Perry, Corey;LAK;;RW,LW;40;;1000000;0;0;0;0
Cihar, Vojtech;LAK;ELC;LW;18;2025-26|2026-27|2027-28;975000;975000;975000;RFA;0
Kirsanov, Kirill;LAK;ELC;D;23;2025-26|2026-27;925000;925000;RFA;0;0
Lombardi, Jimmy;LAK;ELC;C;19;2025-26|2026-27|2027-28;923333;923333;923333;RFA;0
Joseph, Mathieu;LAK;;LW,RW;29;;900000;UFA;0;0;0
Salin, Otto;LAK;ELC;D;22;2025-26|2026-27|2027-28;875000;875000;875000;RFA;0
Woolley, Jared;LAK;ELC;D;20;2025-26|2026-27|2027-28;875000;875000;875000;RFA;0
Wright, Jared;LAK;ELC;RW,LW;23;2025-26|2026-27;867500;867500;RFA;0;0
Connors, Kenny;LAK;ELC;C;23;2025-26|2026-27;867500;867500;RFA;0;0
Clarke, Brandt;LAK;ELC;RD;23;2025-26;863334;RFA;0;0;0
Jamsen, Aatu;LAK;ELC;RW,LW;23;2025-26;852500;RFA;0;0;0
Lawrence, Kaleb;LAK;ELC;C,RW;23;2025-26|2026-27;852500;852500;RFA;0;0
George, Carter;LAK;ELC;G;19;2025-26|2026-27|2027-28;845833;845833;845833;RFA;0
Pinelli, Francesco;LAK;ELC;C;22;2025-26;845000;RFA;0;0;0
Dvorak, Jakub;LAK;ELC;D;20;2025-26|2026-27|2027-28;840000;840000;840000;RFA;0
Booth, Angus;LAK;ELC;LD;21;2025-26|2026-27;826667;826667;RFA;0;0
Ziemmer, Koehn;LAK;ELC;RW;21;2025-26|2026-27|2027-28;816666;816666;816666;RFA;0
Helenius, Samuel;LAK;ELC;C;23;2025-26|2026-27|2027-28;805833;875000;875000;RFA;0
Portillo, Erik;LAK;;G;25;;783333;783333;RFA;0;0
Turcotte, Alex;LAK;;C,RW;25;;775000;775000;RFA;0;0
Malott, Jeff;LAK;;LW;29;;775000;UFA;0;0;0
Ward, Taylor;LAK;;RW;27;;775000;875000;875000;UFA;0
Lee, Andre;LAK;;LW,C;25;;775000;775000;RFA;0;0
Moverare, Jacob;LAK;;LD;27;;775000;UFA;0;0;0
Gawdin, Glenn;LAK;;C,RW;28;;775000;UFA;0;0;0
Guttman, Cole;LAK;;C,RW;26;;775000;775000;UFA;0;0
Chromiak, Martin;LAK;;RW,LW;23;;775000;RFA;0;0;0
Jenik, Jan;LAK;;W,C;25;;775000;0;0;0;0
Alexandrov, Nikita;LAK;;C,LW;25;;775000;0;0;0;0
Hicketts, Joe;LAK;;D;29;;775000;775000;UFA;0;0
Brown, Logan;LAK;;C;28;;775000;UFA;0;0;0
Copley, Pheonix;LAK;;G;34;;775000;UFA;0;0;0
Richards, Mike;LAK;;C;41;;600000;600000;600000;600000;500000
