Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Kaprizov, Kirill;MIN;;LW;28;9000000;17000000;17000000;17000000;17000000
Faber, Brock;MIN;;RD;23;8500000;8500000;8500000;8500000;8500000
Hughes, Quinn;MIN;;LD;26;7850000;7850000;UFA;0;0
Spurgeon, Jared;MIN;;RD;36;7575000;7575000;UFA;0;0
Boldy, Matt;MIN;;LW,RW;24;7000000;7000000;7000000;7000000;7000000
Brodin, Jonas;MIN;;LD;32;6000000;6000000;6000000;UFA;0
Eriksson Ek, Joel;MIN;;C;29;5250000;5250000;5250000;5250000;UFA
Tarasenko, Vladimir;MIN;;RW,LW;34;4750000;UFA;0;0;0
Foligno, Nick;MIN;;LW,RW;38;4500000;UFA;0;0;0
Middleton, Jacob;MIN;;LD;30;4350000;4350000;4350000;4350000;UFA
Zuccarello, Mats;MIN;;RW,LW;38;4125000;UFA;0;0;0
Foligno, Marcus;MIN;;LW,RW;34;4000000;4000000;4000000;UFA;0
Hartman, Ryan;MIN;;RW,C;31;4000000;4000000;UFA;0;0
Gustavsson, Filip;MIN;;G;27;3750000;6800000;6800000;6800000;6800000
Trenin, Yakov;MIN;;C,LW;29;3500000;3500000;3500000;UFA;0
Wallstedt, Jesper;MIN;;G;23;2200000;2200000;RFA;0;0
Sturm, Nico;MIN;;C,LW;30;2000000;2000000;UFA;0;0
Brink, Bobby;MIN;;RW;24;1500000;RFA;0;0;0
Bogosian, Zach;MIN;;RD,LD;35;1250000;UFA;0;0;0
Wutzke, Chase;MIN;ELC;G;19;962500;962500;962500;RFA;0
Yurov, Danila;MIN;ELC;C,RW;22;950000;950000;950000;RFA;0
Peart, Jack;MIN;ELC;D;22;925000;925000;RFA;0;0
Heidt, Riley;MIN;ELC;C,LW;20;918333;918333;918333;RFA;0
McCarron, Michael;MIN;;C,RW;31;900000;UFA;0;0;0
Hlavaj, Samuel;MIN;ELC;G;24;875000;RFA;0;0;0
Bankier, Caedan;MIN;ELC;C;23;867500;RFA;0;0;0
Haight, Hunter;MIN;ELC;C,RW;21;865833;865833;RFA;0;0
Kumpulainen, Rasmus;MIN;ELC;C;20;865833;865833;865833;RFA;0
Lambos, Carson;MIN;ELC;LD;23;863334;RFA;0;0;0
Olausson, Oskar;MIN;ELC;W,C;23;863334;RFA;0;0;0
Spacek, David;MIN;ELC;RD,LD;23;862500;RFA;0;0;0
Leskovar, Stevie;MIN;ELC;D;21;860000;860000;860000;RFA;0
Butler, Cameron;MIN;ELC;RW;23;858333;RFA;0;0;0
Suter, Ryan;MIN;;LD;41;833333;833333;833333;833333;0
Parise, Zach;MIN;;LW,RW;41;833333;833333;833333;833333;0
Mercer, Riley;MIN;ELC;G;21;820000;820000;820000;RFA;0
Schmidt, Roman;MIN;ELC;D;23;805833;RFA;0;0;0
Johansson, Marcus;MIN;;C,LW;35;800000;UFA;0;0;0
Gleason, Ben;MIN;;D;27;800000;UFA;0;0;0
Marek, Bradley;MIN;ELC;;25;790000;RFA;0;0;0
Fabbri, Robby;MIN;;LW,RW;30;775000;UFA;0;0;0
Hunt, Daemon;MIN;;D;23;775000;RFA;0;0;0
Petry, Jeff;MIN;;RD;38;775000;UFA;0;0;0
Pitlick, Tyler;MIN;;C,RW;34;775000;775000;UFA;0;0
Jones, Ben;MIN;;C;27;775000;UFA;0;0;0
Aube-Kubel, Nicolas;MIN;;RW,C;29;775000;UFA;0;0;0
Kiersted, Matt;MIN;;D;27;775000;775000;UFA;0;0
Petersen, Cal;MIN;;G;31;775000;UFA;0;0;0
