Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Dobson, Noah;MTL;;RD;26;9500000;9500000;9500000;9500000;9500000
Laine, Patrik;MTL;;LW,RW;27;8700000;UFA;0;0;0
Suzuki, Nick;MTL;;C;26;7875000;7875000;7875000;7875000;7875000
Caufield, Cole;MTL;;LW,RW;25;7850000;7850000;7850000;7850000;7850000
Slafkovský, Juraj;MTL;;RW,LW;21;7600000;7600000;7600000;7600000;7600000
Gallagher, Brendan;MTL;;RW;33;6500000;6500000;UFA;0;0
Guhle, Kaiden;MTL;;LD;24;5550000;5550000;5550000;5550000;5550000
Anderson, Josh;MTL;;RW,LW;31;5500000;5500000;UFA;0;0
Danault, Phillip;MTL;;C;33;5500000;5500000;UFA;0;0
Matheson, Mike;MTL;;LD;32;4875000;6000000;6000000;6000000;6000000
Carrier, Alexandre;MTL;;RD;29;3750000;3750000;UFA;0;0
Dach, Kirby;MTL;;C;25;3362500;RFA;0;0;0
Montembeault, Sam;MTL;;G;29;3150000;3150000;UFA;0;0
Newhook, Alex;MTL;;C,LW;25;2900000;2900000;RFA;0;0
Evans, Jake;MTL;;C;29;2850000;2850000;2850000;2850000;UFA
Struble, Jayden;MTL;;LD;24;1412500;1412500;RFA;0;0
Xhekaj, Arber;MTL;;LD;25;1300000;RFA;0;0;0
Kahkonen, Kaapo;MTL;;G;29;1150000;UFA;0;0;0
Texier, Alexandre;MTL;;LW,RW;26;1000000;2500000;2500000;UFA;0
Dobes, Jakub;MTL;;G;24;965000;965000;RFA;0;0
Rohrer, Vinzenz;MTL;ELC;C,RW;21;950000;950000;950000;RFA;0
Hutson, Lane;MTL;ELC;LD,RD;22;950000;8850000;8850000;8850000;8850000
Pickford, Bryce;MTL;ELC;;19;940833;940833;940833;RFA;0
Demidov, Ivan;MTL;ELC;RW,LW;20;940833;940833;RFA;0;0
Kapanen, Oliver;MTL;ELC;C,RW;22;925000;925000;RFA;0;0
Fowler, Jacob;MTL;ELC;G;21;923333;923333;923333;RFA;0
Tuch, Luke;MTL;ELC;LW;24;912500;RFA;0;0;0
Veleno, Joseph;MTL;;C,LW;26;900000;RFA;0;0;0
Engström, Adam;MTL;ELC;LD;22;896667;896667;RFA;0;0
Reinbacher, David;MTL;ELC;D;21;886666;886666;886666;RFA;0
Mesar, Filip;MTL;ELC;RW;22;886666;886666;RFA;0;0
Thorpe, Tyler;MTL;ELC;RW;20;868333;868333;868333;RFA;0
Xhekaj, Florian;MTL;ELC;LW,C;21;866667;866667;RFA;0;0
Bolduc, Zack;MTL;ELC;RW,LW;23;863334;RFA;0;0;0
Davidson, Jared;MTL;ELC;C;23;862500;RFA;0;0;0
Beck, Owen;MTL;ELC;C;22;853333;853333;RFA;0;0
Chiasson, Jake;MTL;ELC;C,RW;22;843333;RFA;0;0;0
Laroque, Gannon;MTL;ELC;D;22;836667;RFA;0;0;0
Roy, Joshua;MTL;ELC;LW;22;835000;RFA;0;0;0
Belzile, Alex;MTL;;RW,C;34;775000;UFA;0;0;0
Farrell, Sean;MTL;;C,LW;24;775000;RFA;0;0;0
Condotta, Lucas;MTL;;C;28;775000;775000;UFA;0;0
Blais, Sammy;MTL;;LW,RW;29;775000;UFA;0;0;0
Clurman, Nathan;MTL;;D;27;775000;UFA;0;0;0
Del Gaizo, Marc;MTL;;D;26;775000;0;0;0;0
Trudeau, William;MTL;;D;23;775000;RFA;0;0;0
Shepard, Hunter;MTL;;G;30;775000;UFA;0;0;0
Mittelstadt, Luke;MTL;;D;23;RFA;1013750;1013750;0;0
