Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Hughes, Luke;NJD;;LD,RD;22;9000000;9000000;9000000;9000000;9000000
Hamilton, Dougie;NJD;;RD;32;9000000;9000000;9000000;UFA;0
Meier, Timo;NJD;;RW,LW;29;8800000;8800000;8800000;8800000;8800000
Hughes, Jack;NJD;;C;24;8000000;8000000;8000000;8000000;8000000
Bratt, Jesper;NJD;;LW,RW;27;7875000;7875000;7875000;7875000;7875000
Hischier, Nico;NJD;;C;27;7250000;7250000;UFA;0;0
Pesce, Brett;NJD;;RD;31;5500000;5500000;5500000;5500000;5500000
Markstrom, Jacob;NJD;;G;36;4125000;6000000;6000000;UFA;0
Mercer, Dawson;NJD;;C,RW;24;4000000;4000000;RFA;0;0
Dillon, Brenden;NJD;;LD;35;4000000;4000000;UFA;0;0
Kovacevic, Johnathan;NJD;;D;28;4000000;4000000;4000000;4000000;4000000
Siegenthaler, Jonas;NJD;;LD;28;3400000;3400000;3400000;UFA;0
Brown, Connor;NJD;;RW;32;3000000;3000000;3000000;3000000;UFA
Noesen, Stefan;NJD;;RW,LW;33;2750000;2750000;UFA;0;0
Glass, Cody;NJD;;C,RW;26;2500000;2500000;UFA;0;0
Tsyplakov, Maxim;NJD;;LW,RW;27;2250000;2250000;UFA;0;0
Allen, Jake;NJD;;G;35;1800000;1800000;1800000;1800000;1800000
Bjugstad, Nick;NJD;;C,RW;33;1750000;1750000;UFA;0;0
Dadonov, Evgenii;NJD;;RW,LW;37;1000000;UFA;0;0;0
Casey, Seamus;NJD;ELC;D;22;950000;950000;RFA;0;0
Hämeenaho, Lenni;NJD;ELC;RW;21;950000;950000;950000;RFA;0
Diotte, Mikael;NJD;ELC;D;22;950000;950000;RFA;0;0
Lachance, Shane;NJD;ELC;LW;22;925000;925000;RFA;0;0
Gritsyuk, Arseny;NJD;ELC;LW,RW;25;925000;RFA;0;0;0
Edwards, Ethan;NJD;ELC;D;23;925000;925000;RFA;0;0
Nemec, Simon;NJD;ELC;RD;22;918333;RFA;0;0;0
Wendt, Dylan;NJD;ELC;RW,C;25;870000;RFA;0;0;0
Brennan, Tyler;NJD;ELC;G;22;870000;RFA;0;0;0
Málek, Jakub;NJD;ELC;G;23;867500;RFA;0;0;0
Hanzel, Jeremy;NJD;ELC;D;23;851667;851667;RFA;0;0
Parent, Xavier;NJD;ELC;LW,C;24;850000;RFA;0;0;0
Filmon, Josh;NJD;ELC;LW,RW;22;838333;838333;RFA;0;0
Squires, Cam;NJD;ELC;RW;20;838333;838333;838333;RFA;0
Vilen, Topias;NJD;ELC;D;22;836667;RFA;0;0;0
Daws, Nico;NJD;;G;25;812500;RFA;0;0;0
MacEwen, Zack;NJD;;C,RW;29;775000;UFA;0;0;0
Cotter, Paul;NJD;;LW,C;26;775000;RFA;0;0;0
Legare, Nathan;NJD;;RW,LW;25;775000;0;0;0;0
Crookshank, Angus;NJD;;LW,RW;26;775000;775000;UFA;0;0
Gruden, Jonathan;NJD;;LW,RW;25;775000;0;0;0;0
Cholowski, Dennis;NJD;;LD;28;775000;UFA;0;0;0
Schmelzer, Ryan;NJD;;C,RW;32;775000;UFA;0;0;0
Hardman, Mike;NJD;;W,C;27;775000;UFA;0;0;0
McLaughlin, Marc;NJD;;C,RW;26;775000;0;0;0;0
Halonen, Brian;NJD;;LW,RW;27;775000;UFA;0;0;0
Addison, Calen;NJD;;RD;25;775000;RFA;0;0;0
White, Colton;NJD;;LD;28;775000;UFA;0;0;0
Melovsky, Matyas;NJD;;C,W;21;RFA;972500;972500;0;0
undefined, undefined;NJD;;;;;;;;
