Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Barzal, Mathew;NYI;;C,RW;28;;9150000;9150000;9150000;9150000;9150000
Horvat, Bo;NYI;;C;30;;8500000;8500000;8500000;8500000;8500000
Sorokin, Ilya;NYI;;G;30;;8250000;8250000;8250000;8250000;8250000
Lee, Anders;NYI;;LW;35;;7000000;UFA;0;0;0
Schenn, Brayden;NYI;;C,LW;34;;6500000;6500000;6500000;UFA;0
Romanov, Alexander;NYI;;D;26;;6250000;6250000;6250000;6250000;6250000
Pulock, Ryan;NYI;;RD;31;;6150000;6150000;6150000;6150000;6150000
Palat, Ondrej;NYI;;LW,RW;34;;6000000;6000000;UFA;0;0
Pelech, Adam;NYI;;LD;31;;5750000;5750000;5750000;5750000;UFA
Pageau, Jean-Gabriel;NYI;;C;33;;5000000;4850000;4850000;4850000;UFA
Palmieri, Kyle;NYI;;RW;35;;4750000;4750000;UFA;0;0
Holmstrom, Simon;NYI;;RW,LW;24;;3625000;3625000;RFA;0;0
Duclair, Anthony;NYI;;LW,RW;30;;3500000;3500000;3500000;UFA;0
Mayfield, Scott;NYI;;RD;33;;3500000;3500000;3500000;3500000;3500000
Soucy, Carson;NYI;;LD;31;;3250000;UFA;0;0;0
Engvall, Pierre;NYI;;LW,RW;29;;3000000;3000000;3000000;3000000;3000000
Varlamov, Semyon;NYI;;G;37;;2750000;2750000;UFA;0;0
Cizikas, Casey;NYI;;C,LW;35;;2500000;2500000;UFA;0;0
DeAngelo, Tony;NYI;;RD;30;;1750000;UFA;0;0;0
Heineman, Emil;NYI;;LW,RW;24;;1100000;1100000;RFA;0;0
Rittich, David;NYI;;G;33;;1000000;UFA;0;0;0
Shabanov, Maxim;NYI;;LW,RW;25;;975000;RFA;0;0;0
Eklund, Victor;NYI;;LW;19;;975000;975000;975000;RFA;0
Schaefer, Matthew;NYI;;LD;18;;975000;975000;975000;RFA;0
Ritchie, Calum;NYI;;C,LW;21;;918333;918333;918333;RFA;0
Prokhorov, Daniil;NYI;;;18;;915000;915000;915000;RFA;0
Gatcomb, Marc;NYI;;C,RW;26;;900000;RFA;0;0;0
Veremyev, Gleb;NYI;;C;22;;885000;885000;RFA;0;0
Pulkkinen, Jesse;NYI;;D;21;;880833;880833;RFA;0;0
Larson, Joey;NYI;;RW;24;;872500;RFA;0;0;0
Maggio, Matt;NYI;;RW;23;;870000;RFA;0;0;0
Thiesing, Cam;NYI;;C;24;;870000;RFA;0;0;0
Lennox, Tristan;NYI;;G;23;;867500;RFA;0;0;0
Liukas, Eetu;NYI;;LW;23;;867500;RFA;0;0;0
Jefferies, Alex;NYI;;LW;24;;867500;RFA;0;0;0
Boqvist, Adam;NYI;;RD;25;;850000;RFA;0;0;0
Kuefler, Daylan;NYI;;LW;24;;840000;RFA;0;0;0
George, Isaiah;NYI;;LD;22;;838333;838333;RFA;0;0
Nurmi, Jesse;NYI;;LW;21;;838333;838333;838333;RFA;0
Warren, Marshall;NYI;;LD;24;;825000;RFA;0;0;0
Tikkanen, Henrik;NYI;;G;25;;823750;RFA;0;0;0
Odelius, Calle;NYI;;D;21;;815000;815000;RFA;0;0
MacLean, Kyle;NYI;;LW,RW;26;;775000;775000;UFA;0;0
Highmore, Matthew;NYI;;C,LW;30;;775000;UFA;0;0;0
Foudy, Liam;NYI;;C,RW;26;;775000;RFA;0;0;0
Luff, Matt;NYI;;RW;28;;775000;UFA;0;0;0
McWard, Cole;NYI;;RD;24;;775000;0;0;0;0
Mitchell, Travis;NYI;;D;26;;775000;0;0;0;0
Beckman, Adam;NYI;;LW,C;24;;775000;0;0;0;0
Bear, Ethan;NYI;;D;28;;775000;UFA;0;0;0
Hogberg, Marcus;NYI;;G;31;;775000;UFA;0;0;0
Iskhakov, Ruslan;NYI;;C,LW;25;;RFA;0;0;0;0
Eiserman, Cole;NYI;;LW;19;;RFA;1075000;1075000;1075000;0
Aitcheson, Kashawn;NYI;;D;19;;RFA;1075000;1075000;1075000;0
