Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Konecny, Travis;PHI;;RW,LW;29;;8750000;8750000;8750000;8750000;8750000
Couturier, Sean;PHI;;C;33;;7750000;7750000;7750000;7750000;7750000
Sanheim, Travis;PHI;;LD,RD;29;;6250000;6250000;6250000;6250000;6250000
Tippett, Owen;PHI;;RW,LW;27;;6200000;6200000;6200000;6200000;6200000
Zegras, Trevor;PHI;;C,LW;24;;5750000;RFA;0;0;0
Dvorak, Christian;PHI;;LW,C;30;;5400000;5150000;5150000;5150000;5150000
York, Cameron;PHI;;LD;25;;5150000;5150000;5150000;5150000;5150000
Ristolainen, Rasmus;PHI;;RD;31;;5100000;5100000;UFA;0;0
Cates, Noah;PHI;;C;27;;4000000;4000000;4000000;4000000;UFA
Foerster, Tyson;PHI;;RW,LW;24;;3750000;3750000;RFA;0;0
Hayes, Kevin;PHI;;C,LW;33;;3571429;0;0;0;0
Vladar, Dan;PHI;;G;28;;3350000;3350000;UFA;0;0
Seeler, Nick;PHI;;LD;32;;2700000;2700000;2700000;UFA;0
Hathaway, Garnet;PHI;;RW,LW;34;;2400000;2400000;UFA;0;0
Drysdale, Jamie;PHI;;RD;23;;2300000;RFA;0;0;0
Grundstrom, Carl;PHI;;LW,C;28;;1800000;UFA;0;0;0
Atkinson, Cam;PHI;;RW;36;;1758333;0;0;0;0
Tomasino, Philip;PHI;;C,RW;24;;1750000;RFA;0;0;0
Laughton, Scott;PHI;;C,LW;31;;1500000;0;0;0;0
Ersson, Samuel;PHI;;G;26;;1450000;RFA;0;0;0
Dorwart, Karsen;PHI;ELC;C;23;2025-26;975000;RFA;0;0;0
Bump, Alex;PHI;ELC;LW;22;2025-26|2026-27|2027-28;950000;950000;950000;RFA;0
Michkov, Matvei;PHI;ELC;LW,RW;21;2025-26|2026-27;950000;950000;RFA;0;0
McDonald, Hunter;PHI;ELC;D;23;2025-26;950000;RFA;0;0;0
Luchanko, Jett;PHI;ELC;C;19;2025-26|2026-27|2027-28;942500;942500;942500;RFA;0
Kolosov, Alexei;PHI;ELC;G;24;2025-26;925000;RFA;0;0;0
Kaplan, Devin;PHI;ELC;RW;22;2025-26|2026-27;921667;921667;RFA;0;0
Jiricek, David;PHI;ELC;RD;22;2025-26;918333;RFA;0;0;0
Andrae, Emil;PHI;ELC;LD;24;2025-26;903333;RFA;0;0;0
Juulsen, Noah;PHI;;RD;28;;900000;UFA;0;0;0
Gill, Spencer;PHI;ELC;D;19;2025-26|2026-27|2027-28;890833;890833;890833;RFA;0
Bonk, Oliver;PHI;ELC;D;21;2025-26|2026-27|2027-28;886666;886666;886666;RFA;0
Kyrou, Christian;PHI;ELC;D;22;2025-26;878333;RFA;0;0;0
Grebenkin, Nikita;PHI;ELC;LW,RW;22;2025-26;875000;RFA;0;0;0
Gaucher, Jacob;PHI;ELC;C,LW;25;2025-26;872500;RFA;0;0;0
Robertson, Tucker;PHI;ELC;C;22;2025-26;870000;RFA;0;0;0
Barkey, Denver;PHI;ELC;C,LW;20;2025-26|2026-27|2027-28;863333;863333;863333;RFA;0
Guryev, Artem;PHI;ELC;LD;22;2025-26;860000;RFA;0;0;0
Murchison, Ty;PHI;ELC;LD;23;2025-26|2026-27;860000;860000;RFA;0;0
Bjarnason, Carson;PHI;ELC;G;20;2025-26|2026-27|2027-28;850000;850000;850000;RFA;0
Harrison, Brett;PHI;ELC;C,LW;22;2025-26;836667;RFA;0;0;0
Edward, Jackson;PHI;ELC;D;22;2025-26|2026-27;831667;831667;RFA;0;0
Abols, Rodrigo;PHI;;C,LW;30;;800000;UFA;0;0;0
Eklind, Oscar;PHI;;C,LW;27;;800000;UFA;0;0;0
Grans, Helge;PHI;;D;23;;787500;787500;RFA;0;0
Ginning, Adam;PHI;;LD;26;;787500;0;0;0;0
Glendening, Luke;PHI;;C,RW;36;;775000;UFA;0;0;0
Wilson, Garrett;PHI;;LW,RW;35;;775000;UFA;0;0;0
Pederson, Lane;PHI;;C,RW;28;;775000;UFA;0;0;0
Richard, Anthony;PHI;;C,LW;29;;775000;UFA;0;0;0
Katchouk, Boris;PHI;;LW;27;;775000;UFA;0;0;0
Guenette, Maxence;PHI;;D;24;;775000;0;0;0;0
Knuble, Cole;PHI;;C;21;;RFA;980000;980000;0;0
Powell, Noah;PHI;;RW;21;;RFA;985000;985000;985000;0
