Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Karlsson, Erik;PIT;;RD;35;10000000;10000000;UFA;0;0
Crosby, Sidney;PIT;;C;38;8700000;8700000;UFA;0;0
Malkin, Evgeni;PIT;;C,RW;39;6100000;UFA;0;0;0
Letang, Kris;PIT;;RD;38;6100000;6100000;6100000;UFA;0
Rust, Bryan;PIT;;RW,LW;33;5125000;5125000;5125000;UFA;0
Rakell, Rickard;PIT;;RW,C;32;5000000;5000000;5000000;UFA;0
Girard, Samuel;PIT;;LD;27;5000000;5000000;UFA;0;0
Graves, Ryan;PIT;;LD;30;4500000;4500000;4500000;4500000;UFA
Dumba, Matt;PIT;;RD,LD;31;3750000;UFA;0;0;0
Hayes, Kevin;PIT;;C,LW;33;3571429;UFA;0;0;0
Novak, Thomas;PIT;;C,LW;28;3500000;3500000;UFA;0;0
Clifton, Connor;PIT;;RD;30;3333333;UFA;0;0;0
Skinner, Stuart;PIT;;G;27;2600000;UFA;0;0;0
Mantha, Anthony;PIT;;LW,RW;31;2500000;UFA;0;0;0
Chinakhov, Yegor;PIT;;LW;25;2100000;RFA;0;0;0
Acciari, Noel;PIT;;C,RW;34;2000000;UFA;0;0;0
Lizotte, Blake;PIT;;C,LW;28;1850000;2250000;2250000;2250000;UFA
Brazeau, Justin;PIT;;RW,LW;28;1500000;1500000;UFA;0;0
Soderblom, Elmer;PIT;;LW,RW;24;1125000;1125000;RFA;0;0
Dewar, Connor;PIT;;C,LW;26;1100000;UFA;0;0;0
Wotherspoon, Parker;PIT;;LD;28;1000000;1000000;UFA;0;0
Kindel, Benjamin;PIT;ELC;C,RW;18;975000;975000;975000;RFA;0
McGroarty, Rutger;PIT;ELC;LW,C;21;950000;950000;RFA;0;0
Broz, Tristan;PIT;ELC;C,LW;23;925000;925000;RFA;0;0
Johnson, Jack;PIT;;D;39;916667;0;0;0;0
Shea, Ryan;PIT;;LD;29;900000;UFA;0;0;0
Jones, Caleb;PIT;;D;28;900000;900000;UFA;0;0
Blomqvist, Joel;PIT;ELC;G;24;886667;RFA;0;0;0
Pickering, Owen;PIT;ELC;D;22;886667;886667;RFA;0;0
Kettles, Peyton;PIT;ELC;D;18;875000;875000;875000;RFA;0
Fernström, Melvin;PIT;ELC;RW;20;872500;872500;872500;RFA;0
Murashov, Sergei;PIT;ELC;G;21;861110;861110;RFA;0;0
Laatsch, Daniel;PIT;ELC;D;24;860000;860000;RFA;0;0
Pietila, Chase;PIT;ELC;D;22;860000;860000;860000;RFA;0
Harding, Finn;PIT;ELC;D;21;855000;855000;855000;RFA;0
Ilyin, Mikhail Ye.;PIT;ELC;LW,RW;21;851667;851667;851667;RFA;0
Silovs, Arturs;PIT;;G;24;850000;RFA;0;0;0
Brunicke, Harrison;PIT;ELC;RD;19;845833;845833;845833;RFA;0
Howe, Tanner;PIT;ELC;LW;20;845833;845833;845833;RFA;0
Hayes, Avery;PIT;ELC;C,RW;23;830000;830000;RFA;0;0
Pieniniemi, Emil;PIT;ELC;D;21;806666;806666;806666;RFA;0
Koivunen, Ville;PIT;ELC;LW,RW;22;805833;RFA;0;0;0
Hallander, Filip;PIT;;C,LW;25;775000;775000;UFA;0;0
Solovyov, Ilya;PIT;;LD;25;775000;0;0;0;0
Koppanen, Joona;PIT;;C,LW;28;775000;UFA;0;0;0
Imama, Bokondji;PIT;;LW,RW;29;775000;UFA;0;0;0
St. Ivany, Jack;PIT;;RD;26;775000;775000;UFA;0;0
Gauthier, Taylor;PIT;;G;25;775000;0;0;0;0
Harvey-Pinard, Rafael;PIT;;LW;27;775000;UFA;0;0;0
Alexeyev, Alexander;PIT;;D;26;775000;RFA;0;0;0
Aho, Sebastian;PIT;;D;30;775000;UFA;0;0;0
Kemp, Philip;PIT;;D;27;775000;775000;UFA;0;0
Caleb Jones suspension without pay;PIT;;;;-900000;0;0;0;0
Ponomarev, Vasiliy;PIT;;C,LW;24;RFA;0;0;0;0
Lindberg, Filip;PIT;;G;27;RFA;0;0;0;0
