Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Dunn, Vince;SEA;;LD;29;;7350000;7350000;UFA;0;0
Beniers, Matthew;SEA;;C;23;;7142857;7142857;7142857;7142857;7142857
Montour, Brandon;SEA;;RD;31;;7142857;7142857;7142857;7142857;7142857
Stephenson, Chandler;SEA;;C,LW;31;;6250000;6250000;6250000;6250000;6250000
Grubauer, Philipp;SEA;;G;34;;5900000;5900000;UFA;0;0
Schwartz, Jaden;SEA;;LW;33;;5500000;UFA;0;0;0
Larsson, Adam;SEA;;RD;33;;5250000;5250000;5250000;5250000;UFA
McCann, Jared;SEA;;LW,C;29;;5000000;5000000;UFA;0;0
Daccord, Joey;SEA;;G;29;;5000000;5000000;5000000;5000000;5000000
Eberle, Jordan;SEA;;RW;35;;4750000;5500000;5500000;UFA;0
Oleksiak, Jamie;SEA;;LD,RD;33;;4600000;UFA;0;0;0
Kakko, Kaapo;SEA;;RW;25;;4525000;4525000;4525000;UFA;0
Lindgren, Ryan;SEA;;LD;28;;4500000;4500000;4500000;4500000;UFA
Tolvanen, Eeli;SEA;;LW,RW;26;;3475000;UFA;0;0;0
Gaudreau, Frederick;SEA;;C,RW;32;;2100000;2100000;2100000;UFA;0
Evans, Ryker;SEA;;LD;24;;2050000;2050000;RFA;0;0
McMann, Bobby;SEA;;LW,RW;29;;1350000;UFA;0;0;0
Murray, Matt;SEA;;G;31;;1000000;UFA;0;0;0
O'Brien, Jake;SEA;;C;18;;975000;975000;975000;RFA;0
Jugnauth, Tyson;SEA;;D;21;;950000;950000;950000;RFA;0
Catton, Berkly;SEA;;C,LW;20;;942500;942500;942500;RFA;0
Miettinen, Julius;SEA;;C,W;20;;940833;940833;940833;RFA;0
Villeneuve, Nathan;SEA;;C;19;;940833;940833;940833;RFA;0
Mahura, Josh;SEA;;LD;27;;907500;907500;UFA;0;0
Rehkopf, Carson;SEA;;C,LW;21;;891666;891666;891666;RFA;0
Firkus, Jagger;SEA;;RW;21;;891666;891666;RFA;0;0
Nyman, Jani;SEA;;RW,LW;21;;891666;891666;RFA;0;0
Fisker Molgaard, Oscar;SEA;;;21;;891666;891666;891666;RFA;0
Dragicevic, Lukas;SEA;;D;20;;891666;891666;891666;RFA;0
Goyette, David;SEA;;C;21;;891666;891666;RFA;0;0
Kokko, Niklas;SEA;;G;22;;891666;891666;RFA;0;0
Fleury, Cale;SEA;;RD;27;;890000;890000;UFA;0;0
Sale, Eduard;SEA;;RW;21;;886666;886666;886666;RFA;0
Wright, Shane;SEA;;C;22;;886666;886666;RFA;0;0
Morrison, Logan;SEA;;C;23;;870000;RFA;0;0;0
Roed, Lleyton;SEA;;LW;23;;870000;RFA;0;0;0
Ostman, Victor;SEA;;G;25;;870000;RFA;0;0;0
Loshko, Andrei;SEA;;RW;21;;870000;870000;870000;RFA;0
Ottavainen, Ville;SEA;;RD;23;;867500;RFA;0;0;0
Hammell, Kaden;SEA;;D;21;;865833;865333;865833;RFA;0
Saarinen, Kim;SEA;;G;19;;840000;840000;840000;RFA;0
Nelson, Ty;SEA;;D;21;;836667;836667;RFA;0;0
Price, Caden;SEA;;D;20;;835556;835556;835556;RFA;0
Winterton, Ryan;SEA;;RW,LW;22;;828333;1125000;1125000;RFA;0
Melanson, Jacob;SEA;;RW;22;;826111;RFA;0;0;0
Avon, Jon-Randall;SEA;;C,LW;22;;800000;RFA;0;0;0
Meyers, Ben;SEA;;C,LW;27;;775000;1000000;1000000;UFA;0
Olofsson, Gustav;SEA;;D;31;;775000;UFA;0;0;0
Hayden, John;SEA;;C,RW;31;;775000;775000;UFA;0;0
Stephens, Mitchell;SEA;;C;29;;775000;UFA;0;0;0
McCormick, Max;SEA;;LW,RW;33;;775000;UFA;0;0;0
Veleno, Joseph;SEA;;C,LW;26;;379167;379167;0;0;0
Evers, Ryden;SEA;;;20;;RFA;1075000;1075000;1075000;0
Seppala, Peetro;SEA;;D;25;;RFA;0;0;0;0
