Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Price, Carey;SJS;;G;38;;10500000;UFA;0;0;0
Couture, Logan;SJS;;C,LW;36;;8000000;8000000;UFA;0;0
Orlov, Dmitry;SJS;;LD,RD;34;;6500000;6500000;UFA;0;0
Toffoli, Tyler;SJS;;RW,LW;33;;6000000;6000000;6000000;UFA;0
Wennberg, Alexander;SJS;;C,LW;31;;5000000;6000000;6000000;6000000;UFA
Performance Bonus Cushion Excess;SJS;;;;;4874999;0;0;0;0
Vlasic, Marc-Edouard;SJS;;LD;38;;4666667;1166667;0;0;0
Klingberg, John;SJS;;RD;33;;4000000;UFA;0;0;0
Leddy, Nick;SJS;;LD,RD;34;;4000000;UFA;0;0;0
Goodrow, Barclay;SJS;;C,LW;33;;3641667;3641667;UFA;0;0
Brossoit, Laurent;SJS;;G;32;;3300000;UFA;0;0;0
Ferraro, Mario;SJS;;LD,RD;27;;3250000;UFA;0;0;0
Nedeljkovic, Alex;SJS;;G;30;;2500000;3000000;3000000;UFA;0
Gaudette, Adam;SJS;;C,RW;29;;2000000;2000000;UFA;0;0
Desharnais, Vincent;SJS;;RD;29;;2000000;UFA;0;0;0
Askarov, Yaroslav;SJS;;G;23;;2000000;2000000;RFA;0;0
Jones, Martin;SJS;;G;36;;1666667;1666667;0;0;0
Sherwood, Kiefer;SJS;;RW,LW;30;;1500000;5750000;5750000;5750000;5750000
Karlsson, Erik;SJS;;RD;35;;1500000;1500000;0;0;0
Hertl, Tomas;SJS;;C,LW;32;;1387500;1387500;1387500;1387500;1387500
Reaves, Ryan;SJS;;RW;39;;1350000;UFA;0;0;0
Dellandrea, Ty;SJS;;C,RW;25;;1300000;1625000;1625000;UFA;0
Kurashev, Philipp;SJS;;C,RW;26;;1200000;RFA;0;0;0
Mukhamadullin, Shakir;SJS;;LD,RD;24;;1000000;RFA;0;0;0
Celebrini, Macklin;SJS;ELC;C,LW;19;2025-26|2026-27;975000;975000;RFA;0;0
Beck, Noah;SJS;ELC;D;24;2025-26;975000;RFA;0;0;0
Misa, Michael;SJS;ELC;C,LW;19;2025-26|2026-27|2027-28;975000;975000;975000;RFA;0
Smith, Will;SJS;ELC;C,RW;21;2025-26|2026-27;950000;950000;RFA;0;0
Dickinson, Sam;SJS;ELC;LD;19;2025-26|2026-27|2027-28;942500;942500;942500;RFA;0
Graf, Collin;SJS;ELC;RW,C;23;2025-26;941667;RFA;0;0;0
Lund, Cameron;SJS;ELC;RW,C;21;2025-26|2026-27;941667;941667;RFA;0;0
Sahlin Wallenius, Leo;SJS;ELC;D;19;2025-26|2026-27|2027-28;940000;940000;940000;RFA;0
Chernyshov, Igor;SJS;ELC;LW;20;2025-26|2026-27|2027-28;934167;934167;934167;RFA;0
Bystedt, Filip;SJS;ELC;C,LW;22;2025-26|2026-27;918333;918333;RFA;0;0
Hävelid, Mattias;SJS;ELC;D;22;2025-26|2026-27|2027-28;905000;905000;905000;RFA;0
Cagnoni, Luca;SJS;ELC;D;21;2025-26|2026-27;895000;895000;RFA;0;0
Musty, Quentin;SJS;ELC;LW;20;2025-26|2026-27|2027-28;886666;886666;886666;RFA;0
Halttunen, Kasper;SJS;ELC;RW,LW;20;2025-26|2026-27|2027-28;876666;876666;876666;RFA;0
Cardwell, Ethan;SJS;ELC;RW,C;23;2025-26;867500;RFA;0;0;0
Eklund, William;SJS;ELC;LW,C;23;2025-26|2026-27|2027-28|2028-29;863333;5600000;5600000;5600000;RFA
Ostapchuk, Zack;SJS;ELC;C,LW;22;2025-26;825000;RFA;0;0;0
Allan, Nolan;SJS;ELC;D;22;2025-26;825000;RFA;0;0;0
Afanasyev, Egor;SJS;;LW,C;25;;800000;0;0;0;0
Carlsson, Lucas;SJS;;D;28;;800000;UFA;0;0;0
Carriere, Gabriel;SJS;;G;25;;795000;RFA;0;0;0
Regenda, Pavol;SJS;;LW,RW;26;;775000;0;0;0;0
White, Colin;SJS;;C,RW;29;;775000;UFA;0;0;0
Bowers, Shane;SJS;;C,RW;26;;775000;0;0;0;0
Laberge, Samuel;SJS;;W,C;28;;775000;UFA;0;0;0
Skarek, Jakub;SJS;;G;26;;775000;0;0;0;0
Woo, Jett;SJS;;D;25;;775000;0;0;0;0
Huntington, Jimmy;SJS;;C,LW;27;;775000;UFA;0;0;0
Giles, Patrick;SJS;;C,RW;26;;775000;0;0;0;0
Knyzhov, Nicolai;SJS;;D;27;;466667;0;0;0;0
Kaut, Martin;SJS;;RW;26;;RFA;0;0;0;0
Chmelevski, Alexander;SJS;;C;26;;RFA;0;0;0;0
undefined, undefined;SJS;;;;;;;;;
