Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Kyrou, Jordan;STL;;RW;27;;8125000;8125000;8125000;8125000;8125000
Thomas, Robert;STL;;C;26;;8125000;8125000;8125000;8125000;8125000
Buchnevich, Pavel;STL;;LW,C;30;;8000000;8000000;8000000;8000000;8000000
Krug, Torey;STL;;D;34;;6500000;6500000;UFA;0;0
Parayko, Colton;STL;;RD;32;;6500000;6500000;6500000;6500000;6500000
Binnington, Jordan;STL;;G;32;;6000000;6000000;UFA;0;0
Broberg, Philip;STL;;LD;24;;4580917;8000000;8000000;8000000;8000000
Suter, Pius;STL;;C,LW;29;;4125000;4125000;UFA;0;0
Fowler, Cam;STL;;LD;34;;4000000;6100000;6100000;6100000;UFA
Drouin, Jonathan;STL;;LW,C;30;;4000000;4000000;UFA;0;0
Neighbours, Jake;STL;;LW,RW;23;;3750000;3750000;RFA;0;0
Holl, Justin;STL;;RD;34;;3400000;UFA;0;0;0
Hofer, Joel;STL;;G;25;;3400000;3400000;RFA;0;0
Holloway, Dylan;STL;;LW,C;24;;2290457;RFA;0;0;0
Berggren, Jonatan;STL;;RW,LW;25;;1825000;RFA;0;0;0
Toropchenko, Alexei;STL;;LW,RW;26;;1700000;2500000;2500000;UFA;0
Sundqvist, Oskar;STL;;C,RW;31;;1500000;UFA;0;0;0
Carbonneau, Justin;STL;;RW;19;;975000;975000;975000;RFA;0
Snuggerud, Jimmy;STL;;RW,LW;21;;950000;950000;RFA;0;0
Jiříček, Adam;STL;;D;19;;942500;942500;942500;RFA;0
Fischer, Lukas;STL;;D;19;;931667;931667;931667;RFA;0
Tucker, Tyler;STL;;LD;26;;925000;925000;UFA;0;0
Stenberg, Otto;STL;;C,LW;20;;918333;918333;918333;RFA;0
Lindstein, Theo;STL;;LD;21;;918333;918333;918333;RFA;0
Dvorský, Dalibor;STL;;C,RW;20;;886666;886666;886666;RFA;0
Mailloux, Logan;STL;;RD;22;;875000;850000;RFA;0;0
Jecho, Adam;STL;;C,RW;19;;872500;872500;872500;RFA;0
Kaskimäki, Aleksanteri;STL;;C;22;;870000;870000;RFA;0;0
Loof, Leo;STL;;D;23;;867500;RFA;0;0;0
Robertsson, Simon;STL;;RW;23;;867500;867500;RFA;0;0
Peterson, Dylan;STL;;C,RW;24;;867500;RFA;0;0;0
Susuyev, Nikita;STL;;LW,RW;21;;855000;855000;855000;RFA;0
Dean, Zach;STL;;C;23;;852500;RFA;0;0;0
Burns, Quinton;STL;;D;20;;838333;838333;838333;RFA;0
Buchinger, Michael;STL;;D;21;;838333;838333;RFA;0;0
Pekarcik, Juraj;STL;;W,C;20;;838333;838333;838333;RFA;0
Stancl, Jakub;STL;;LW;20;;836111;836111;836111;RFA;0
Gaudet, Marc-Andre;STL;;D;22;;802500;802500;RFA;0;0
Kessel, Matthew;STL;;RD;25;;800000;RFA;0;0;0
Walker, Nathan;STL;;C,LW;32;;775000;887500;887500;UFA;0
Finley, Jack;STL;;C,RW;23;;775000;775000;775000;RFA;0
Bordeleau, Thomas;STL;;C,LW;24;;775000;RFA;0;0;0
Gauthier, Julien;STL;;RW;28;;775000;UFA;0;0;0
Skinner, Hunter;STL;;D;24;;775000;0;0;0;0
Thomas, Akil;STL;;C,W;26;;775000;0;0;0;0
McGing, Hugh;STL;;LW,C;27;;775000;UFA;0;0;0
Rosen, Calle;STL;;D;32;;775000;875000;875000;UFA;0
Cranley, Will;STL;;G;24;;775000;RFA;0;0;0
Zherenko, Vadim;STL;;G;25;;775000;0;0;0;0
Romanov, Georgii;STL;;G;26;;775000;0;0;0;0
Abramov, Mikhail;STL;;C,W;24;;RFA;0;0;0;0
