Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Matthews, Auston;TOR;;C;28;;13250000;13250000;13250000;UFA;0
Nylander, William;TOR;;C,RW;29;;11500000;11500000;11500000;11500000;11500000
Knies, Matthew;TOR;;LW,RW;23;;7750000;7750000;7750000;7750000;7750000
Rielly, Morgan;TOR;;LD;32;;7500000;7500000;7500000;7500000;7500000
McCabe, Jake;TOR;;LD,RD;32;;4513102;4513102;4513102;4513102;4513102
Tanev, Christopher;TOR;;RD;36;;4500000;4500000;4500000;4500000;4500000
Tavares, John;TOR;;C,LW;35;;4389280;4389280;4389280;4389280;UFA
Domi, Max;TOR;;C,LW;31;;3750000;3750000;3750000;UFA;0
Woll, Joseph;TOR;;G;27;;3666667;3666667;3666667;UFA;0
Ekman-Larsson, Oliver;TOR;;LD,RD;34;;3500000;3500000;3500000;UFA;0
Carlo, Brandon;TOR;;RD;29;;3485000;3485000;UFA;0;0
Maccelli, Matias;TOR;;LW,RW;25;;3425000;RFA;0;0;0
Joshua, Dakota;TOR;;C,LW;29;;3250000;3250000;3250000;UFA;0
Stolarz, Anthony;TOR;;G;32;;2500000;3750000;3750000;3750000;3750000
Jarnkrok, Calle;TOR;;LW,RW;34;;2100000;UFA;0;0;0
Robertson, Nicholas;TOR;;LW,RW;24;;1825000;RFA;0;0;0
Lorentz, Steven;TOR;;LW,C;29;;1350000;1350000;1350000;UFA;0
Benoit, Simon;TOR;;LD,RD;27;;1350000;1350000;UFA;0;0
Benning, Matt;TOR;;D;31;;1250000;UFA;0;0;0
Thrun, Henry;TOR;;LD;25;;1000000;RFA;0;0;0
Danford, Ben;TOR;ELC;D;20;2025-26|2026-27|2027-28;931945;931945;931945;RFA;0
Holinka, Miroslav;TOR;ELC;C,W;20;2025-26|2026-27|2027-28;918333;918333;918333;RFA;0
Prokop, John;TOR;ELC;D;24;2025-26;875000;RFA;0;0;0
Quillan, Jacob;TOR;ELC;C,LW;24;2025-26;875000;RFA;0;0;0
Smith, Blake;TOR;ELC;;21;2025-26|2026-27|2027-28;875000;875000;875000;RFA;0
Haymes, Luke;TOR;ELC;C;22;2025-26|2026-27;875000;875000;RFA;0;0
Cowan, Easton;TOR;ELC;C,RW;20;2025-26|2026-27|2027-28;873500;873500;873500;RFA;0
Valis, Borya;TOR;ELC;F;21;2025-26|2026-27|2027-28;872500;872500;872500;RFA;0
Tverberg, Ryan;TOR;ELC;C,RW;24;2025-26;851667;RFA;0;0;0
Peksa, Vyacheslav;TOR;ELC;G;23;2025-26;851667;RFA;0;0;0
Akhtyamov, Artur;TOR;ELC;G;24;2025-26|2026-27|2027-28|2028-29;851667;900000;900000;900000;UFA
Myers, Philippe;TOR;;RD;29;;850000;850000;UFA;0;0
Hildeby, Dennis;TOR;;G;24;;841667;841667;841667;RFA;0
Webber, Cade;TOR;;D;25;;825000;825000;RFA;0;0
Groulx, Bo;TOR;;C,LW;26;;812500;812500;UFA;0;0
Mermis, Dakota;TOR;;LD;32;;812500;812500;UFA;0;0
Pezzetta, Michael;TOR;;LW,C;28;;812500;812500;UFA;0;0
Kressler, Braeden;TOR;ELC;C,RW;23;2025-26;800556;RFA;0;0;0
Chadwick, Noah;TOR;ELC;D;20;2025-26|2026-27|2027-28;800556;800556;800556;RFA;0
Stecher, Troy;TOR;;RD;31;;787500;UFA;0;0;0
Boyd, Travis;TOR;;C,RW;32;;775000;UFA;0;0;0
Villeneuve, William;TOR;;D;23;;775000;RFA;0;0;0
Lettieri, Vinni;TOR;;C,RW;31;;775000;UFA;0;0;0
Rifai, Marshall;TOR;;LD;28;;775000;775000;UFA;0;0
Der-Arguchintsev, Semyon;TOR;;C;25;;RFA;0;0;0;0
Buhr, Brandon;TOR;;;23;;RFA;975000;0;0;0
Hirvonen, Roni;TOR;;W,C;24;;RFA;0;0;0;0
Niemela, Topi;TOR;;D;23;;RFA;0;0;0;0
Borgesi, Vinny;TOR;;;22;;RFA;987500;987500;0;0
