Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Sergachev, Mikhail;UTA;;LD;27;8500000;8500000;8500000;8500000;8500000
Peterka, John-Jason;UTA;;LW;24;7700000;7700000;7700000;7700000;7700000
Keller, Clayton;UTA;;RW,LW;27;7150000;7150000;7150000;UFA;0
Guenther, Dylan;UTA;;RW,LW;22;7142875;7142875;7142875;7142875;7142875
Weegar, MacKenzie;UTA;;LD,RD;32;6250000;6250000;6250000;6250000;6250000
Durzi, Sean;UTA;;RD;27;6000000;6000000;6000000;UFA;0
Schmaltz, Nick;UTA;;C,LW;30;5850000;8000000;8000000;8000000;8000000
Vejmelka, Karel;UTA;;G;29;4750000;4750000;4750000;4750000;4750000
Marino, John;UTA;;RD;28;4400000;4400000;UFA;0;0
Crouse, Lawson;UTA;;LW,RW;28;4300000;4300000;UFA;0;0
McBain, Jack;UTA;;C,LW;26;4250000;4250000;4250000;4250000;4250000
Schmidt, Nate;UTA;;LD,RD;34;3500000;3500000;3500000;UFA;0
Kerfoot, Alexander;UTA;;LW,C;31;3000000;UFA;0;0;0
Cole, Ian;UTA;;LD;37;2800000;UFA;0;0;0
Hayton, Barrett;UTA;;C,LW;25;2650000;RFA;0;0;0
Tanev, Brandon;UTA;;LW,RW;34;2500000;2500000;2500000;UFA;0
Stenlund, Kevin;UTA;;C;29;2000000;UFA;0;0;0
Vanecek, Vitek;UTA;;G;30;1500000;UFA;0;0;0
O'Brien, Liam;UTA;;LW,RW;31;1000000;1000000;UFA;0;0
Duda, Artyom;UTA;ELC;D;21;950000;950000;RFA;0;0
Simashev, Dmitri;UTA;ELC;LD,RD;21;950000;950000;950000;RFA;0
Cooley, Logan;UTA;ELC;C,LW;21;950000;10000000;10000000;10000000;10000000
But, Daniil;UTA;ELC;LW;21;950000;950000;950000;RFA;0
Iginla, Tij;UTA;ELC;LW;19;942500;942500;942500;RFA;0
Beaudoin, Cole;UTA;ELC;C;19;942500;942500;942500;RFA;0
Lutz, Julian;UTA;ELC;W,C;22;923333;923333;RFA;0;0
Lamoureux, Maveric;UTA;ELC;D;22;886666;886666;RFA;0;0
Lavoie, Tomas;UTA;ELC;D;19;872500;872500;872500;RFA;0
Matikka, Miko;UTA;ELC;RW,LW;22;870000;870000;RFA;0;0
Allard, Owen;UTA;ELC;C,LW;22;869167;869167;RFA;0;0
Smith, Gabe;UTA;ELC;C;19;869167;869167;869167;RFA;0
Kunc, Michal;UTA;ELC;;25;861000;RFA;0;0;0
Szuber, Maksymilian;UTA;ELC;D;23;859167;RFA;0;0;0
Lipkin, Sam;UTA;ELC;LW,C;23;851667;851667;RFA;0;0
Goldsmith, Terrell;UTA;ELC;D;20;836111;836111;836111;RFA;0
Nordh, Noel;UTA;ELC;LW,RW;21;835000;835000;835000;RFA;0
Hebig, Cameron;UTA;;C,W;29;812500;812500;UFA;0;0
DeSimone, Nick;UTA;;RD;31;800000;UFA;0;0;0
Ingram, Connor;UTA;;G;28;800000;0;0;0;0
Thornton, Anson;UTA;ELC;G;22;795556;RFA;0;0;0
Yamamoto, Kailer;UTA;;RW;27;775000;UFA;0;0;0
Carcone, Michael;UTA;;LW;29;775000;UFA;0;0;0
Rooney, Kevin;UTA;;C;32;775000;UFA;0;0;0
Perunovich, Scott;UTA;;D;27;775000;UFA;0;0;0
Agozzino, Andrew;UTA;;LW,C;35;775000;UFA;0;0;0
McCartney, Ben;UTA;;LW,RW;24;775000;775000;RFA;0;0
Connauton, Kevin;UTA;;D;36;775000;UFA;0;0;0
Villalta, Matt;UTA;;G;26;775000;UFA;0;0;0
Onyebuchi, Montana;UTA;;D;26;775000;775000;UFA;0;0
Stauber, Jaxson;UTA;;G;26;775000;775000;UFA;0;0
Ekman-Larsson, Oliver;UTA;;LD,RD;34;650000;650000;290000;290000;290000
