Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Pettersson, Elias;VAN;;C,LW;27;;11600000;11600000;11600000;11600000;11600000
Boeser, Brock;VAN;;RW,LW;29;;7250000;7250000;7250000;7250000;7250000
Hronek, Filip;VAN;;RD;28;;7250000;7250000;7250000;7250000;7250000
DeBrusk, Jake;VAN;;LW,RW;29;;5500000;5500000;5500000;5500000;5500000
Pettersson, Marcus;VAN;;LD;29;;5500000;5500000;5500000;5500000;5500000
Kane, Evander;VAN;;LW,RW;34;;5125000;UFA;0;0;0
Rossi, Marco;VAN;;C;24;;5000000;5000000;5000000;RFA;0
Demko, Thatcher;VAN;;G;30;;5000000;8500000;8500000;8500000;UFA
Ekman-Larsson, Oliver;VAN;;LD,RD;34;;4766667;4766667;2126667;2126667;2126667
Lankinen, Kevin;VAN;;G;30;;4500000;4500000;4500000;4500000;4500000
Chytil, Filip;VAN;;C;26;;4437500;4437500;UFA;0;0
Hoglander, Nils;VAN;;LW,RW;25;;3000000;3000000;3000000;UFA;0
O'Connor, Drew;VAN;;LW,RW;27;;2500000;2500000;UFA;0;0
Forbort, Derek;VAN;;LD;34;;2000000;UFA;0;0;0
Blueger, Teddy;VAN;;C;31;;1800000;UFA;0;0;0
Myers, Tyler;VAN;;RD;36;;1500000;1500000;0;0;0
Cootes, Braeden;VAN;;C;19;;975000;975000;975000;RFA;0
Buium, Zeev;VAN;;LD;20;;966667;966667;RFA;0;0
Willander, Tom;VAN;;RD;21;;950000;950000;950000;RFA;0
Medvedev, Aleksei;VAN;;G;18;;923333;923333;923333;RFA;0
Patterson, Riley;VAN;;C;19;;923333;923333;923333;RFA;0
Lekkerimaki, Jonathan;VAN;;RW;21;;918333;918333;RFA;0;0
Chiarot, Gabe;VAN;;;19;;916667;916667;916667;RFA;0
Öhgren, Liam;VAN;;LW;22;;886666;886666;RFA;0;0
Ravinskis, Anri;VAN;;;23;;872500;872500;RFA;0;0
Mancini, Victor;VAN;;RD;23;;870000;RFA;0;0;0
Mueller, Ty;VAN;;C;23;;870000;870000;RFA;0;0
Grubbe, Jayden;VAN;;C,RW;23;;867500;RFA;0;0;0
Stillman, Chase;VAN;;RW,LW;23;;863334;RFA;0;0;0
Koskenvuo, Aku;VAN;;G;23;;850000;850000;RFA;0;0
Klimovich, Danila;VAN;;RW,LW;23;;833333;RFA;0;0;0
Alriksson, Vilmer;VAN;;LW,C;21;;831667;831667;831667;RFA;0
Aman, Nils;VAN;;C,LW;26;;825000;RFA;0;0;0
Kudryavtsev, Kirill;VAN;;D;22;;825000;825000;RFA;0;0
Young, Ty;VAN;;G;21;;825000;825000;RFA;0;0
Mynio, Sawyer;VAN;;D;20;;806666;806666;806666;RFA;0
Thompson, Jack;VAN;;RD;24;;800000;RFA;0;0;0
Sasson, Max;VAN;;C;25;;775000;1000000;1000000;UFA;0
Karlsson, Linus;VAN;;RW,C;26;;775000;2250000;2250000;UFA;0
Räty, Aatu;VAN;;C;23;;775000;775000;RFA;0;0
Douglas, Curtis;VAN;;C,LW;26;;775000;0;0;0;0
Joseph, Pierre-Olivier;VAN;;LD,RD;26;;775000;RFA;0;0;0
Tolopilo, Nikita;VAN;;G;25;;775000;775000;UFA;0;0
Clayton, Cole;VAN;;D;26;;775000;RFA;0;0;0
MacEachern, MacKenzie;VAN;;LW;32;;775000;775000;UFA;0;0
Labate, Joe;VAN;;C,LW;32;;775000;UFA;0;0;0
Bains, Arshdeep;VAN;;LW;25;;775000;775000;RFA;0;0
Brisebois, Guillaume;VAN;;D;28;;775000;UFA;0;0;0
Schuldt, Jimmy;VAN;;D;30;;775000;775000;UFA;0;0
Patera, Jiri;VAN;;G;27;;775000;UFA;0;0;0
Mikheyev, Ilya;VAN;;RW,LW;31;;712500;0;0;0;0
