Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Marner, Mitchell;VGK;;RW,C;28;12000000;12000000;12000000;12000000;12000000
Eichel, Jack;VGK;;C;29;10000000;13500000;13500000;13500000;13500000
Stone, Mark;VGK;;RW;33;9500000;9500000;UFA;0;0
Pietrangelo, Alex;VGK;;D;36;8800000;8800000;UFA;0;0
Theodore, Shea;VGK;;LD,RD;30;7425000;7425000;7425000;7425000;7425000
Hanifin, Noah;VGK;;LD;29;7350000;7350000;7350000;7350000;7350000
Hertl, Tomas;VGK;;C,LW;32;6750000;6750000;6750000;6750000;6750000
Hill, Adin;VGK;;G;29;6250000;6250000;6250000;6250000;6250000
Karlsson, William;VGK;;C;33;5900000;5900000;UFA;0;0
Barbashev, Ivan;VGK;;LW;30;5000000;5000000;5000000;UFA;0
McNabb, Brayden;VGK;;LD;35;3650000;3650000;3650000;UFA;0
Dowd, Nic;VGK;;C;35;3000000;3000000;UFA;0;0
Howden, Brett;VGK;;C,LW;27;2500000;2500000;2500000;2500000;2500000
Kolesar, Keegan;VGK;;RW;28;2500000;2500000;2500000;UFA;0
Andersson, Rasmus;VGK;;RD;29;2275000;UFA;0;0;0
Smith, Reilly;VGK;;RW,LW;34;2000000;UFA;0;0;0
Lauzon, Jeremy;VGK;;LD;28;2000000;UFA;0;0;0
Hart, Carter;VGK;;G;27;2000000;2000000;UFA;0;0
Saad, Brandon;VGK;;LW,RW;33;2000000;UFA;0;0;0
Dorofeyev, Pavel;VGK;;LW,RW;25;1835000;RFA;0;0;0
Sissons, Colton;VGK;;C,RW;32;1428572;UFA;0;0;0
Davies, Jeremy;VGK;;D;29;1150000;1150000;UFA;0;0
Smith, Cole;VGK;;LW;30;1000000;UFA;0;0;0
Connelly, Trevor;VGK;ELC;LW;20;975000;975000;975000;RFA;0
Hutton, Ben;VGK;;D;32;975000;UFA;0;0;0
Hallum, Jackson;VGK;ELC;F;23;925000;925000;RFA;0;0
Whitehead, Cameron;VGK;ELC;G;22;875000;875000;RFA;0;0
Schmid, Akira;VGK;;G;25;875000;RFA;0;0;0
Uronen, Tuomas;VGK;ELC;W,C;21;852500;852500;852500;RFA;0
Demek, Jakub;VGK;ELC;RW;22;851683;RFA;0;0;0
Swick, Trent;VGK;ELC;LW;21;850000;850000;850000;RFA;0
Uchacz, Kai;VGK;ELC;C,RW;22;845000;845000;RFA;0;0
Lindbom, Carl;VGK;ELC;G;22;840000;RFA;0;0;0
Holtz, Alexander;VGK;;RW;24;839725;835352;RFA;0;0
Bowman, Braeden;VGK;ELC;RW;22;837500;837500;RFA;0;0
Fleming, Joe;VGK;ELC;D;22;836666;RFA;0;0;0
Kmec, Viliam;VGK;ELC;D;22;833333;833333;RFA;0;0
Gustafson, Jordan;VGK;ELC;C;22;830000;830000;RFA;0;0
Brabenec, Jakub;VGK;ELC;LW,C;22;828333;RFA;0;0;0
Korczak, Kaedan;VGK;;RD;25;825000;3250000;3250000;3250000;3250000
Hemmerling, Ben;VGK;ELC;RW;21;821111;821111;RFA;0;0
Sapovaliv, Matyas;VGK;ELC;C;22;803334;803334;RFA;0;0
Cataford, Mathieu;VGK;ELC;RW;21;801666;801666;801666;RFA;0
Megna, Jaycob;VGK;;D;33;800000;800000;UFA;0;0
Rondbjerg, Jonas;VGK;;LW,RW;26;775000;UFA;0;0;0
Coghlan, Dylan;VGK;;D;28;775000;UFA;0;0;0
Lavoie, Raphael;VGK;;C,RW;25;775000;0;0;0;0
Laczynski, Tanner;VGK;;C;28;775000;UFA;0;0;0
Cormier, Lukas;VGK;;D;23;775000;RFA;0;0;0
Morozov, Ivan;VGK;;C;25;RFA;0;0;0;0
Weiermair, Alex;VGK;;;20;RFA;975000;975000;975000;0
Ride, Bronson;VGK;;;21;RFA;970500;970500;970500;0
