Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Scheifele, Mark;WPG;;C;33;8500000;8500000;8500000;8500000;8500000
Hellebuyck, Connor;WPG;;G;32;8500000;8500000;8500000;8500000;8500000
Vilardi, Gabriel;WPG;;RW,C;26;7500000;7500000;7500000;7500000;7500000
Connor, Kyle;WPG;;LW;29;7142857;12000000;12000000;12000000;12000000
Pionk, Neal;WPG;;RD;30;7000000;7000000;7000000;7000000;7000000
Morrissey, Josh;WPG;;LD;30;6250000;6250000;6250000;UFA;0
Samberg, Dylan;WPG;;LD;27;5750000;5750000;5750000;UFA;0
Demelo, Dylan;WPG;;RD;32;4900000;4900000;4900000;UFA;0
Niederreiter, Nino;WPG;;LW;33;4000000;4000000;UFA;0;0
Iafallo, Alex;WPG;;LW,RW;32;3666666;3666666;3666666;UFA;0
Nyquist, Gustav;WPG;;RW,LW;36;3250000;UFA;0;0;0
Perfetti, Cole;WPG;;RW,LW;24;3250000;RFA;0;0;0
Lowry, Adam;WPG;;C;32;3250000;5000000;5000000;5000000;5000000
Namestnikov, Vladislav;WPG;;C,LW;33;3000000;3000000;UFA;0;0
Toews, Jonathan;WPG;;C;37;2000000;UFA;0;0;0
Barron, Morgan;WPG;;C,LW;27;1850000;1850000;UFA;0;0
Schmidt, Nate;WPG;;LD,RD;34;1616667;0;0;0;0
Miller, Colin;WPG;;RD;33;1500000;UFA;0;0;0
Schenn, Luke;WPG;;RD;36;1375000;0;0;0;0
Koepke, Cole;WPG;;LW,RW;27;1000000;UFA;0;0;0
Fleury, Haydn;WPG;;LD,RD;29;950000;950000;UFA;0;0
Yager, Brayden;WPG;ELC;C;21;918333;918333;918333;RFA;0
Freij, Alfons;WPG;ELC;D;20;905833;905833;905833;RFA;0
Bryson, Jacob;WPG;;LD,RD;28;900000;UFA;0;0;0
Julien, Jacob;WPG;ELC;C;21;895000;895000;895000;RFA;0
Rosén, Isak;WPG;ELC;LW,RW;23;894167;RFA;0;0;0
Lambert, Brad;WPG;ELC;C,RW;22;886666;886666;RFA;0;0
Barlow, Colby;WPG;ELC;LW;21;886666;886666;886666;RFA;0
Chibrikov, Nikita;WPG;ELC;LW,RW;23;875833;875000;875000;RFA;0
Walton, Kieron;WPG;ELC;C,LW;19;858333;858333;858333;RFA;0
Milic, Thomas;WPG;ELC;G;22;841667;841667;RFA;0;0
He, Kevin;WPG;ELC;LW;19;840000;840000;840000;RFA;0
Gustafsson, David;WPG;;C,LW;25;835000;RFA;0;0;0
Wagner, Fabian;WPG;ELC;C,RW;21;830556;830556;RFA;0;0
DiVincentiis, Domenic;WPG;ELC;G;22;830556;830556;RFA;0;0
Comrie, Eric;WPG;;G;30;825000;UFA;0;0;0
Salomonsson, Elias;WPG;ELC;RD;21;815000;815000;RFA;0;0
Phillips, Isaak;WPG;;D;24;812500;812500;RFA;0;0
Ford, Parker;WPG;;C,RW;25;812500;812500;RFA;0;0
Zhilkin, Danny;WPG;ELC;C;22;803333;803333;RFA;0;0
Heinola, Ville;WPG;;LD;25;800000;0;0;0;0
Di Giuseppe, Phillip;WPG;;LW,RW;32;775000;UFA;0;0;0
Anderson-Dolan, Jaret;WPG;;RW,LW;26;775000;RFA;0;0;0
Bauer, Tyrel;WPG;;D;23;775000;RFA;0;0;0
Duehr, Walker;WPG;;RW;28;775000;UFA;0;0;0
Fagemo, Samuel;WPG;;LW,RW;26;775000;0;0;0;0
Shaw, Mason;WPG;;C,LW;27;775000;UFA;0;0;0
Poulter, Isaac;WPG;;G;24;775000;RFA;0;0;0
Clague, Kale;WPG;;D;27;775000;UFA;0;0;0
Vesalainen, Kristian;WPG;;LW,RW;26;RFA;0;0;0;0
Kupari, Rasmus;WPG;;C,RW;26;RFA;0;0;0;0
